,Factura,Total,Calificacion,Cluster_21,Cluster_22
206,764-44-8999,30.996,4.3,0,0
207,257-60-7754,210.96599999999998,9.0,2,2
208,365-16-4334,222.012,8.9,2,2
209,695-09-5146,311.1885,6.4,0,0
210,794-32-2436,116.90700000000001,6.0,0,0
211,593-08-5916,16.275,7.4,2,2
212,528-87-5606,41.45399999999999,6.5,0,0
213,842-40-8179,810.6,5.6,1,1
214,575-30-8091,609.0,9.2,2,3
215,118-62-1812,329.19599999999997,7.9,2,2
216,856-66-2701,167.895,7.5,2,2
217,652-49-6720,63.9975,5.9,0,0
218,106-35-6779,93.11399999999999,5.8,0,0
219,401-09-4232,455.1225,9.4,2,3
220,633-44-8566,362.94300000000004,7.3,2,2
221,453-63-6187,86.625,6.5,0,0
222,630-74-5166,391.41900000000004,7.4,2,2
223,588-01-7461,321.111,4.2,0,0
224,788-07-8452,178.16400000000004,9.4,2,2
225,514-37-2845,208.425,9.0,2,2
226,701-23-5550,163.002,4.9,0,0
227,556-41-6224,282.57599999999996,9.3,2,2
228,628-90-8624,867.09,5.0,1,1
229,605-03-2706,49.77,9.5,2,2
230,595-86-2894,407.316,9.4,2,2
231,885-17-6250,83.727,7.3,2,2
232,660-29-7083,586.635,5.8,1,1
233,741-73-3559,353.1675,6.9,0,0
234,539-21-7227,270.585,4.2,0,0
235,120-06-4233,192.843,9.3,2,2
236,316-01-3952,284.9175,4.6,0,0
237,871-79-8483,494.1825,4.8,0,1
238,566-19-5475,352.5795,6.2,0,0
239,563-36-9814,80.661,7.2,0,2
240,130-98-8941,472.311,5.7,1,1
241,372-62-5264,497.07,7.6,1,3
242,149-61-1929,673.995,6.7,1,1
243,400-60-7251,77.7735,9.9,2,2
244,583-72-1480,155.65200000000004,9.7,2,2
245,880-35-0356,236.88,4.8,0,0
246,468-01-2051,456.288,5.4,0,1
247,498-41-1961,350.07,7.6,2,2
248,549-59-1358,279.1845,6.0,0,0
249,288-38-3758,267.3405,7.4,2,2
250,109-28-2512,614.943,9.9,2,3
251,868-52-7573,523.3725,9.9,2,3
252,807-14-7833,182.91,7.0,0,0
253,649-29-6775,35.196,6.7,0,0
254,423-57-2993,588.357,10.0,2,3
255,131-70-8179,290.0835,4.2,0,0
256,576-31-4774,231.2415,4.0,0,0
257,142-72-4741,195.72,6.0,0,0
258,443-60-9639,63.9135,5.5,0,0
259,884-80-6021,771.435,9.5,1,3
260,805-86-0265,887.922,9.8,1,3
261,554-42-2417,1002.12,5.2,1,1
262,246-11-3901,344.4,6.2,0,0
263,430-60-3493,697.368,4.2,1,1
264,642-61-4706,196.14,5.5,0,0
265,462-67-9126,461.286,7.2,1,3
266,608-04-3797,212.688,8.7,2,2
267,339-96-8318,597.6285,6.3,1,1
268,139-32-4183,921.186,7.4,1,3
269,777-67-2495,217.2555,8.7,2,2
270,787-87-2010,233.1,6.6,0,0
271,408-66-6712,300.573,4.4,0,0
272,745-74-0715,121.863,8.8,2,2
273,477-59-2456,333.9840000000001,9.2,2,2
274,786-94-2700,507.906,9.1,2,3
275,262-47-2794,603.624,6.2,1,1
276,153-58-4872,314.538,4.2,0,0
277,540-11-4336,235.683,5.6,0,0
278,430-02-3888,289.926,7.1,0,0
279,364-33-8584,92.5575,8.5,2,2
280,364-34-2972,304.983,6.7,0,0
281,133-14-7229,132.02700000000002,5.0,0,0
282,356-44-8813,118.06200000000001,7.7,2,2
283,848-42-2560,172.011,7.8,2,2
284,632-90-0281,394.275,9.3,2,2
285,610-46-4100,212.7825,6.0,0,0
286,726-29-6793,203.112,9.8,2,2
287,587-73-4862,56.1225,7.6,2,2
288,729-46-7422,37.6845,7.9,2,2
289,727-46-3608,189.0945,4.1,0,0
290,549-84-7482,853.1460000000003,7.2,1,3
291,123-19-1176,489.048,8.4,2,3
292,848-07-1692,120.162,8.3,2,2
293,239-36-3640,285.705,6.1,0,0
294,246-55-6923,338.2155,5.1,0,0
295,605-83-1050,57.078,4.3,0,0
296,834-45-5519,180.6,7.6,2,2
297,271-77-8740,184.08599999999998,5.0,0,0
298,189-17-4241,184.107,7.7,2,2
299,305-03-2383,211.365,7.5,2,2
300,430-53-4718,633.1080000000002,8.4,1,3
301,584-86-7256,254.016,7.3,2,2
302,608-96-3517,384.468,4.8,0,0
303,727-02-1313,33.431999999999995,7.7,2,2
304,401-18-8016,103.0365,8.9,2,2
305,834-83-1826,430.71,7.6,2,3
306,252-56-2699,453.495,8.2,2,3
307,289-65-5721,170.877,6.5,0,0
308,316-66-3011,450.1035,5.0,0,1
309,448-81-5016,125.51700000000001,5.8,0,0
310,130-67-4723,305.55,9.4,2,2
311,301-11-9629,140.385,9.7,2,2
312,827-44-5872,570.78,6.1,1,1
313,726-27-2396,406.875,4.3,0,1
314,887-42-0517,611.0790000000002,6.6,1,1
315,595-11-5460,202.81799999999998,5.1,0,0
316,735-32-9839,829.08,8.5,1,3
317,575-67-1508,40.53,6.7,0,0
318,201-86-2184,193.011,9.9,2,2
319,511-54-3087,92.8725,9.5,2,2
320,667-92-0055,628.929,8.5,1,3
321,779-42-2410,181.88099999999997,7.7,2,2
322,559-61-5987,18.6375,8.6,2,2
323,851-28-6367,162.75,8.0,2,2
324,277-35-5865,935.2665,6.7,1,1
325,423-80-0988,160.44,6.5,0,0
326,151-16-1484,135.45,6.5,0,0
327,361-85-2571,469.77,7.4,1,3
328,343-87-0864,79.67399999999998,7.1,0,0
329,725-32-9708,288.582,4.1,0,0
330,497-37-6538,432.9885,9.7,2,3
331,590-83-4591,550.935,8.8,2,3
332,626-43-7888,507.444,9.6,2,3
333,538-22-0304,681.975,5.2,1,1
334,583-41-4548,122.5245,7.4,2,2
335,408-26-9866,543.753,4.1,1,1
336,832-51-6761,284.592,9.6,2,2
337,883-69-1285,104.83200000000001,7.0,0,0
338,322-02-2271,135.3555,9.3,2,2
339,484-22-8230,381.3915,4.5,0,0
340,734-91-1155,143.9865,7.7,2,2
341,247-11-2470,93.744,4.4,0,0
342,169-52-4504,49.4235,5.8,0,0
343,435-13-4908,728.112,7.2,1,3
344,849-09-3807,649.299,6.6,1,1
345,174-36-3675,208.67700000000002,5.2,0,0
346,434-83-9547,323.14799999999997,7.7,2,2
347,759-98-4285,631.1445,8.0,1,3
348,692-27-8933,365.085,5.2,0,0
349,871-39-9221,78.435,4.1,0,0
350,286-01-5402,295.6905,9.6,2,2
351,420-11-4919,374.7975,5.5,0,0
352,448-61-3783,756.168,4.5,1,1
353,242-55-6721,33.936,6.5,0,0
354,811-35-1094,317.835,8.9,2,2
355,722-13-2115,44.9925,9.3,2,2
356,373-14-0504,150.423,8.8,2,2
357,471-06-8611,55.041000000000004,6.3,0,0
358,319-74-2561,298.116,5.5,0,0
359,282-35-2475,195.951,6.3,0,0
360,471-41-2823,209.55900000000003,8.0,2,2
361,674-15-9296,194.985,5.0,0,0
362,533-33-5337,833.595,6.2,1,1
363,743-04-1105,918.7289999999999,6.0,1,1
364,749-24-1565,217.6335,7.9,2,2
365,737-88-5876,97.818,5.9,0,0
366,616-87-0016,702.2189999999997,9.6,1,3
367,420-97-3340,225.792,9.2,2,2
368,276-54-0879,410.50800000000004,6.4,0,0
369,850-41-9669,709.317,6.2,1,1
370,689-05-1884,510.615,8.8,2,3
371,189-55-2313,652.89,6.0,1,1
372,571-94-0759,783.3,9.5,1,3
373,122-61-9553,484.974,5.6,1,1
374,674-56-6360,99.9075,6.0,0,0
375,300-71-4605,451.71,4.8,0,1
376,779-06-0012,93.0405,7.7,2,2
377,895-03-6665,345.0195,4.2,0,0
378,182-88-2763,251.7165,5.0,0,0
379,468-88-0009,276.948,6.0,0,0
380,101-81-4070,131.922,4.9,0,0
381,800-09-8606,458.6925,6.6,1,1
382,354-39-5160,216.84599999999998,9.8,2,2
383,394-55-6384,663.2955,6.7,1,1
384,394-43-4238,93.2925,5.4,0,0
385,466-61-5506,571.41,5.3,1,1
386,114-35-5271,486.444,8.1,2,3
387,510-09-5628,206.43,7.2,2,2
388,616-24-2851,75.054,6.5,0,0
389,707-32-7409,401.26800000000003,4.5,0,0
390,382-03-4532,19.2465,4.3,0,0
391,345-08-4992,214.137,7.7,2,2
392,732-04-5373,195.174,7.0,0,0
393,640-49-2076,703.752,5.1,1,1
394,450-28-2866,91.56,8.1,2,2
395,272-27-9238,173.208,7.1,0,0
396,558-60-5016,314.685,7.2,2,2
397,886-54-6089,72.009,7.7,2,2
398,721-86-6247,532.7280000000002,7.4,1,3
399,760-54-1821,128.4255,5.8,0,0
400,552-44-5977,520.8,6.2,1,1
401,662-72-2873,214.935,9.9,2,2
402,700-81-1757,138.1275,8.8,2,2
403,232-16-2483,71.52600000000002,6.8,0,0
404,727-75-6477,121.12799999999999,6.4,0,0
405,878-30-2331,572.775,7.1,1,3
406,222-42-0244,681.4395,7.7,1,3
407,709-58-4068,431.445,7.3,2,3
408,612-36-5536,680.064,7.4,1,3
409,214-30-2776,181.0725,9.0,2,2
410,516-77-6464,53.34,4.1,0,0
411,598-06-7312,95.9175,6.8,0,0
412,740-22-2500,264.7575,9.8,2,2
413,394-41-0748,510.9615,9.5,2,3
414,268-20-3585,130.8825,6.0,0,0
415,195-06-0432,255.1815,9.3,2,2
416,258-92-7466,187.32,6.6,0,0
417,689-16-9784,294.651,6.0,0,0
418,359-94-5395,97.419,9.8,2,2
419,714-02-3114,207.48,7.7,2,2
420,655-85-5130,160.86,5.7,0,0
421,744-82-9138,180.873,8.2,2,2
422,280-17-4359,950.25,8.1,1,3
423,777-82-7220,253.00799999999998,7.7,2,2
424,458-10-8612,470.98800000000006,7.6,1,3
425,299-29-0180,383.523,9.3,2,2
426,867-47-1948,165.9,7.8,2,2
427,573-98-8548,33.495,9.1,2,2
428,210-30-7976,93.744,4.1,0,0
429,152-03-4217,106.596,4.3,0,0
430,218-59-9410,228.123,8.2,2,2
431,642-30-6693,343.413,7.8,2,2
432,483-71-1164,512.19,5.3,1,1
433,384-59-6655,932.337,8.4,1,3
434,706-36-6154,182.952,8.7,2,2
435,233-67-5758,42.3675,6.2,0,0
436,239-48-4278,74.4555,8.3,2,2
437,582-52-8065,513.2295,8.9,2,3
438,149-15-7606,352.67400000000015,5.1,0,0
439,220-28-1851,72.933,9.7,2,2
440,491-38-3499,58.2225,4.9,0,0
441,569-76-2760,92.44200000000001,6.6,0,0
442,420-18-8989,432.76800000000003,9.6,2,3
443,837-55-7229,49.812,6.8,0,0
444,865-41-9075,84.7455,8.1,2,2
445,587-03-7455,718.7565,4.9,1,1
446,821-07-3596,69.09,5.6,0,0
447,155-45-3814,743.82,4.7,1,1
448,192-98-7397,13.419,9.5,2,2
449,578-80-7669,78.7185,5.6,0,0
450,717-96-4189,223.58700000000002,4.1,0,0
451,859-97-6048,176.925,5.3,0,0
452,727-17-0390,333.9525,4.8,0,0
453,266-20-6657,404.54400000000004,5.2,0,0
454,226-34-0034,57.87600000000001,9.0,2,2
455,502-05-1910,205.317,6.3,0,0
456,488-25-4221,31.9305,8.4,2,2
457,862-59-8517,568.512,6.2,1,1
458,132-23-6451,110.0925,7.8,2,2
459,744-02-5987,493.79400000000004,5.8,1,1
460,489-64-4354,17.094,5.0,0,0
461,139-20-0155,423.15,7.0,1,3
462,386-27-7606,596.82,8.1,1,3
463,422-29-8786,352.2225,9.1,2,2
464,732-67-5346,72.3975,7.8,2,2
465,237-44-6163,88.704,7.6,2,2
466,489-82-1237,690.018,7.3,1,3
467,545-46-3100,33.3585,8.7,2,2
468,137-63-5492,616.98,9.0,1,3
469,603-07-0961,392.6475,4.9,0,0
470,574-22-5561,867.615,7.9,1,3
471,288-62-1085,202.335,5.6,0,0
472,866-70-2814,554.295,10.0,2,3
473,212-62-1842,367.038,9.9,2,2
474,719-76-3868,395.892,8.6,2,2
475,157-13-5295,545.37,6.5,1,1
476,420-04-7590,314.055,4.7,0,0
477,696-90-2548,81.396,6.6,0,0
478,207-73-1363,145.971,8.1,2,2
479,588-47-8641,588.42,4.4,1,1
480,345-68-9016,266.028,5.6,0,0
481,880-46-5796,807.66,5.6,1,1
482,110-05-6330,248.40900000000002,9.4,2,2
483,607-76-6216,485.5725,8.6,2,3
484,790-38-4466,57.6975,9.3,2,2
485,457-13-1708,684.915,5.2,1,1
486,554-53-8700,117.831,6.3,0,0
487,733-01-9107,521.01,7.4,1,3
488,447-15-7839,233.52,4.2,0,0
489,624-01-8356,514.605,4.2,0,1
490,891-01-7034,470.673,6.7,1,1
491,670-79-6321,695.2365,4.9,1,1
492,443-59-0061,708.225,4.2,1,1
493,173-57-2300,153.048,6.1,0,0
494,343-61-3544,280.035,8.6,2,2
495,319-50-3348,84.63,4.4,0,0
496,533-66-5566,375.3645,7.0,0,0
497,531-56-4728,252.252,5.4,0,0
498,166-19-2553,561.078,9.9,2,3
499,373-88-1424,188.0025,7.9,2,2
500,324-92-3863,43.869,9.8,2,2
501,285-68-5083,77.931,10.0,2,2
502,477-24-6490,628.173,7.9,1,3
503,781-84-8059,446.439,5.0,0,1
504,445-30-9252,80.955,6.1,0,0
505,776-68-1096,138.97799999999998,7.9,2,2
506,746-68-6593,183.03599999999997,9.7,2,2
507,802-70-5316,580.419,8.3,1,3
508,608-05-3804,41.7375,6.1,0,0
509,550-84-8664,451.0275,8.6,2,3
510,740-11-5257,259.77,7.1,0,0
511,747-58-7183,180.4005,6.5,0,0
512,537-72-0426,745.395,5.7,1,1
513,816-57-2053,127.82700000000001,8.7,2,2
514,336-78-2147,536.844,4.6,1,1
515,750-57-9686,190.59599999999998,8.7,2,2
516,510-95-6347,152.838,4.0,0,0
517,718-57-9773,517.965,9.4,2,3
518,746-94-0204,786.618,7.4,1,3
519,868-81-1752,208.08900000000003,6.8,0,0
520,441-94-7118,75.5475,7.3,2,2
521,585-11-6748,304.92,5.3,0,0
522,848-62-7243,235.2105,7.4,2,2
523,462-78-5240,55.881,4.2,0,0
524,704-10-4056,190.4805,5.6,0,0
525,213-32-1216,416.17800000000005,7.3,2,3
526,602-16-6955,804.3,6.0,1,1
527,213-72-6612,90.825,6.2,0,0
528,857-16-3520,525.231,4.5,1,1
529,232-11-3025,827.085,6.4,1,1
530,136-08-6195,587.664,6.4,1,1
531,751-41-9720,1023.75,8.0,1,3
532,146-09-5432,331.1280000000001,4.6,0,0
533,198-66-9832,151.284,9.5,2,2
534,702-72-0487,97.881,6.6,0,0
535,632-32-4574,637.7280000000002,5.5,1,1
536,431-66-2305,833.9625,7.6,1,3
537,784-21-9238,10.6785,5.9,0,0
538,287-21-9091,705.6315,9.4,1,3
539,280-35-5823,91.056,7.9,2,2
540,658-66-3967,390.9465,5.0,0,0
541,438-23-1242,557.7180000000002,8.9,2,3
542,556-97-7101,132.762,8.5,2,2
543,333-73-7901,461.32800000000003,7.6,2,3
544,468-99-7231,369.684,8.8,2,2
545,343-75-9322,99.54,4.1,0,0
546,115-99-4379,402.2655,8.5,2,3
547,638-60-7125,836.304,5.2,1,1
548,227-07-4446,820.365,4.4,1,1
549,836-82-5858,655.5465,4.0,1,1
550,241-96-5076,103.11,6.4,0,0
551,846-10-0341,312.8895,6.8,0,0
552,761-49-0439,101.64,8.6,2,2
553,449-16-6770,266.6475,5.3,0,0
554,510-79-0415,145.404,4.9,0,0
555,865-92-6136,166.1625,9.3,2,2
556,856-22-8149,26.5545,6.1,0,0
557,699-88-1972,832.944,4.2,1,1
558,263-10-3913,463.42800000000005,8.6,2,3
559,269-04-5750,310.0440000000001,6.7,0,0
560,325-90-8763,488.985,7.6,1,3
561,728-47-9078,250.278,9.8,2,2
562,279-62-1445,13.167,8.2,2,2
563,551-21-3069,218.0115,4.9,0,0
564,201-63-8275,499.7265,5.7,1,1
565,197-77-7132,769.1039999999997,6.0,1,1
566,549-96-4200,71.568,7.0,0,0
567,730-70-9830,441.69300000000004,5.2,0,1
568,665-32-9167,76.146,7.2,0,2
569,460-35-4390,96.64200000000001,9.1,2,2
570,585-03-5943,190.155,5.9,0,0
571,318-68-5053,485.037,6.1,1,1
572,436-54-4512,96.1905,9.8,2,2
573,273-16-6619,69.72,4.4,0,0
574,549-23-9016,31.226999999999997,8.9,2,2
575,664-14-2882,55.2825,5.8,0,0
576,593-95-4461,78.60300000000002,6.9,0,0
577,699-14-3026,627.6165,4.1,1,1
578,748-45-2862,118.902,8.2,2,2
579,829-49-1914,822.255,6.6,1,1
580,831-64-0259,208.6875,9.6,2,2
581,451-73-2711,89.0715,8.8,2,2
582,815-04-6282,341.0925,6.5,0,0
583,299-46-1805,590.436,4.5,1,1
584,744-09-5786,138.66299999999998,7.6,2,2
585,862-29-5914,23.499000000000002,8.6,2,2
586,730-50-9884,610.491,4.0,1,1
587,760-27-5490,131.208,9.1,2,2
588,873-14-6353,182.42700000000002,7.1,0,0
589,451-28-5717,523.971,7.3,1,3
590,380-60-5336,422.73,5.0,0,1
591,842-29-4695,125.979,7.9,2,2
592,870-72-4431,624.8969999999998,5.5,1,1
593,135-84-8019,736.4385,7.6,1,3
594,860-73-6466,82.887,5.0,0,0
595,211-05-0490,272.58,7.5,2,2
596,307-04-2070,32.150999999999996,4.1,0,0
597,720-72-2436,279.384,6.9,0,0
598,604-70-6476,94.185,6.8,0,0
599,126-54-1082,203.553,8.8,2,2
600,565-91-4567,90.3,6.2,0,0
601,360-39-5055,256.7775,6.6,0,0
602,102-06-2002,132.5625,6.1,0,0
603,743-88-1662,701.8515,8.7,1,3
604,346-84-3103,69.405,4.3,0,0
605,160-22-2687,503.7375,8.8,2,3
606,522-57-8364,431.256,7.6,2,3
607,266-76-6436,121.59,7.5,2,2
608,156-20-0370,26.7225,5.1,0,0
609,361-59-0574,760.452,6.5,1,1
610,756-49-0168,20.685,9.5,2,2
611,505-02-0892,357.588,5.6,0,0
612,503-07-0930,429.1665,8.2,2,3
613,479-26-8945,34.629,4.6,0,0
614,870-54-3162,169.3125,9.0,2,2
615,744-16-7898,1022.385,4.9,1,1
616,606-80-4905,120.645,6.8,0,0
617,711-31-1234,401.68800000000016,7.9,2,3
618,668-90-8900,688.6215,4.5,1,1
619,651-96-5970,48.7305,4.0,0,0
620,277-63-2961,77.6685,5.4,0,0
621,359-90-3665,75.936,9.5,2,2
622,730-61-8757,214.74599999999998,4.0,0,0
623,120-54-2248,151.515,8.0,2,2
624,219-22-9386,944.622,4.2,1,1
625,548-48-3156,175.014,7.6,2,2
626,342-65-4817,273.42,9.9,2,2
627,847-38-7188,304.5420000000001,6.4,0,0
628,605-72-4132,793.548,9.1,1,3
629,339-12-4827,77.658,5.0,0,0
630,857-67-9057,240.975,8.2,2,2
631,797-88-0493,269.934,7.7,2,2
632,733-33-4967,175.14,6.3,0,0
633,458-41-1477,291.438,9.5,2,2
634,541-08-3113,554.148,8.4,1,3
635,186-43-8965,100.12799999999999,4.1,0,0
636,490-95-0021,348.705,6.0,0,0
