,Factura,Ciudad,Tipo_cliente,Genero,Linea_producto,Precio_unidad,Cantidad,Impuesto,Total,Forma_pago,Coste,Calificacion,Fecha2,Dia,Jornada,Horario,Calificacion2,ISG,Anomaly,Anomaly_Score
24,549-59-1358,Yangon,Miembro,Hombre,Sports and travel,88.63,3,13.2945,279.1845,Ewallet,265.89,6.0,2019-03-02,Saturday,Festivo,Tarde,Detractores,-100,0,-0.02789318455792611
25,227-03-5010,Yangon,Miembro,Mujer,Home and lifestyle,52.59,8,21.035999999999998,441.756,Credit card,420.72,8.5,2019-03-22,Friday,Laboral,Noche,Promotores,100,0,-0.02706673055718023
26,649-29-6775,Mandalay,Normal,Hombre,Fashion accessories,33.52,1,1.676,35.196,Cash,33.52,6.7,2019-02-08,Friday,Laboral,Tarde,Neutros,0,0,-0.03170467023302481
27,189-17-4241,Yangon,Normal,Mujer,Fashion accessories,87.67,2,8.767000000000001,184.107,Credit card,175.34,7.7,2019-03-10,Sunday,Festivo,Mañana,Neutros,0,0,-0.027784989520590275
28,145-94-9061,Mandalay,Normal,Mujer,Food and beverages,88.36,5,22.09,463.89,Cash,441.8,9.6,2019-01-25,Friday,Laboral,Noche,Promotores,100,0,-0.023048246299108177
29,848-62-7243,Yangon,Normal,Hombre,Health and beauty,24.89,9,11.2005,235.2105,Cash,224.01,7.4,2019-03-15,Friday,Laboral,Tarde,Neutros,0,0,-0.022111382973916682
30,871-79-8483,Mandalay,Normal,Hombre,Fashion accessories,94.13,5,23.5325,494.1825,Credit card,470.65,4.8,2019-02-25,Monday,Laboral,Noche,Detractores,-100,0,-0.020877075991795113
31,149-71-6266,Mandalay,Miembro,Hombre,Sports and travel,78.07,9,35.1315,737.7615,Cash,702.63,4.5,2019-01-28,Monday,Laboral,Mañana,Detractores,-100,0,-0.015027753525591603
32,640-49-2076,Mandalay,Normal,Hombre,Sports and travel,83.78,8,33.512,703.752,Cash,670.24,5.1,2019-01-10,Thursday,Laboral,Tarde,Detractores,-100,0,-0.01945744481232603
33,595-11-5460,Yangon,Normal,Hombre,Health and beauty,96.58,2,9.658,202.81799999999998,Credit card,193.16,5.1,2019-03-15,Friday,Laboral,Mañana,Detractores,-100,0,-0.016645758729618487
34,183-56-6882,Naypyitaw,Miembro,Mujer,Food and beverages,99.42,4,19.884,417.564,Ewallet,397.68,7.5,2019-02-06,Wednesday,Laboral,Mañana,Neutros,0,0,-0.012606751709268504
35,232-16-2483,Naypyitaw,Miembro,Mujer,Sports and travel,68.12,1,3.406,71.52600000000001,Ewallet,68.12,6.8,2019-01-07,Monday,Laboral,Mañana,Neutros,0,0,-0.0087856380740714
36,129-29-8530,Yangon,Miembro,Hombre,Sports and travel,62.62,5,15.655,328.755,Ewallet,313.1,7.0,2019-03-10,Sunday,Festivo,Noche,Neutros,0,0,-0.04550948315093001
37,272-65-1806,Yangon,Normal,Mujer,Electronic accessories,60.88,9,27.396,575.316,Ewallet,547.92,4.7,2019-01-15,Tuesday,Laboral,Tarde,Detractores,-100,0,-0.03358248733946256
38,333-73-7901,Naypyitaw,Normal,Mujer,Health and beauty,54.92,8,21.968000000000004,461.32800000000003,Ewallet,439.36,7.6,2019-03-23,Saturday,Laboral,Mañana,Neutros,0,0,-0.0165489689138687
39,777-82-7220,Mandalay,Miembro,Hombre,Home and lifestyle,30.12,8,12.048,253.00799999999998,Cash,240.96,7.7,2019-03-03,Sunday,Festivo,Mañana,Neutros,0,0,-0.02944638399538635
40,280-35-5823,Mandalay,Miembro,Mujer,Home and lifestyle,86.72,1,4.336,91.056,Ewallet,86.72,7.9,2019-01-17,Thursday,Laboral,Noche,Neutros,0,0,-0.014576015672618126
41,554-53-8700,Naypyitaw,Miembro,Hombre,Home and lifestyle,56.11,2,5.611000000000001,117.831,Cash,112.22,6.3,2019-02-02,Saturday,Laboral,Mañana,Detractores,-100,0,-0.02969338491564444
42,354-25-5821,Mandalay,Miembro,Mujer,Sports and travel,69.12,6,20.736,435.45599999999996,Cash,414.72,5.6,2019-02-08,Friday,Laboral,Mañana,Detractores,-100,0,-0.04843692739369859
43,228-96-1411,Naypyitaw,Miembro,Mujer,Food and beverages,98.7,8,39.48,829.08,Cash,789.6,7.6,2019-03-04,Monday,Laboral,Noche,Neutros,0,1,0.0026914042370058677
44,617-15-4209,Naypyitaw,Miembro,Hombre,Health and beauty,15.37,2,1.537,32.277,Cash,30.74,7.2,2019-03-16,Saturday,Laboral,Noche,Neutros,0,1,0.006503722992623251
45,132-32-9879,Mandalay,Miembro,Mujer,Electronic accessories,93.96,4,18.792,394.63199999999995,Cash,375.84,9.5,2019-03-09,Saturday,Laboral,Noche,Promotores,100,0,-0.014874867060641117
46,370-41-7321,Mandalay,Miembro,Hombre,Health and beauty,56.69,9,25.5105,535.7205,Credit card,510.21,8.4,2019-02-27,Wednesday,Laboral,Tarde,Neutros,0,0,-0.018897354635037833
47,727-46-3608,Mandalay,Miembro,Mujer,Food and beverages,20.01,9,9.0045,189.0945,Ewallet,180.09,4.1,2019-02-06,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.026407673639677998
48,669-54-1719,Mandalay,Miembro,Hombre,Electronic accessories,18.93,6,5.678999999999999,119.259,Credit card,113.58,8.1,2019-02-10,Sunday,Festivo,Mañana,Neutros,0,0,-0.028781286172783527
49,574-22-5561,Naypyitaw,Miembro,Mujer,Fashion accessories,82.63,10,41.315,867.615,Ewallet,826.3,7.9,2019-03-19,Tuesday,Laboral,Tarde,Neutros,0,0,-0.016828215325650486
50,326-78-5178,Naypyitaw,Miembro,Hombre,Food and beverages,91.4,7,31.99,671.79,Cash,639.8,9.5,2019-02-03,Sunday,Festivo,Mañana,Promotores,100,0,-0.015568735244089305
51,162-48-8011,Yangon,Miembro,Mujer,Food and beverages,44.59,5,11.1475,234.0975,Cash,222.95,8.5,2019-02-10,Sunday,Festivo,Tarde,Promotores,100,0,-0.03256056387121764
52,616-24-2851,Mandalay,Miembro,Mujer,Fashion accessories,17.87,4,3.574,75.054,Ewallet,71.48,6.5,2019-03-22,Friday,Laboral,Tarde,Neutros,0,0,-0.040242724363970805
53,778-71-5554,Naypyitaw,Miembro,Hombre,Fashion accessories,15.43,1,0.7715,16.2015,Credit card,15.43,6.1,2019-01-25,Friday,Laboral,Tarde,Detractores,-100,1,0.0006416240968375453
54,242-55-6721,Mandalay,Normal,Hombre,Home and lifestyle,16.16,2,1.6159999999999999,33.936,Ewallet,32.32,6.5,2019-03-07,Thursday,Laboral,Mañana,Neutros,0,0,-0.022628259748435964
55,399-46-5918,Naypyitaw,Normal,Mujer,Electronic accessories,85.98,8,34.391999999999996,722.232,Cash,687.84,8.2,2019-02-28,Thursday,Laboral,Noche,Neutros,0,0,-0.008321356515402778
56,106-35-6779,Yangon,Miembro,Hombre,Home and lifestyle,44.34,2,4.434,93.11399999999999,Cash,88.68,5.8,2019-03-27,Wednesday,Festivo,Mañana,Detractores,-100,0,-0.03328542948438429
57,635-40-6220,Yangon,Normal,Hombre,Health and beauty,89.6,8,35.84,752.64,Ewallet,716.8,6.6,2019-02-07,Thursday,Laboral,Mañana,Neutros,0,0,-0.014241067254886053
58,817-48-8732,Yangon,Miembro,Mujer,Home and lifestyle,72.35,10,36.175,759.675,Cash,723.5,5.4,2019-01-20,Sunday,Festivo,Tarde,Detractores,-100,0,-0.016773314680854745
59,120-06-4233,Naypyitaw,Normal,Hombre,Electronic accessories,30.61,6,9.183,192.843,Cash,183.66,9.3,2019-03-12,Tuesday,Laboral,Noche,Promotores,100,0,-0.02401243272337772
60,285-68-5083,Naypyitaw,Miembro,Mujer,Sports and travel,24.74,3,3.7110000000000003,77.931,Credit card,74.22,10.0,2019-02-15,Friday,Laboral,Tarde,Promotores,100,0,-0.021644380759705095
61,803-83-5989,Naypyitaw,Normal,Hombre,Home and lifestyle,55.73,6,16.719,351.099,Ewallet,334.38,7.0,2019-02-24,Sunday,Festivo,Mañana,Neutros,0,0,-0.03325183408276333
62,347-34-2234,Mandalay,Miembro,Mujer,Sports and travel,55.07,9,24.7815,520.4115,Ewallet,495.63,10.0,2019-02-03,Sunday,Festivo,Mañana,Promotores,100,0,-0.009723984531313956
63,199-75-8169,Yangon,Miembro,Hombre,Sports and travel,15.81,10,7.905,166.005,Credit card,158.1,8.6,2019-03-06,Wednesday,Laboral,Mañana,Promotores,100,0,-0.02397255130696485
64,853-23-2453,Mandalay,Miembro,Hombre,Health and beauty,75.74,4,15.148,318.108,Cash,302.96,7.6,2019-02-14,Thursday,Laboral,Tarde,Neutros,0,0,-0.019728690649791436
65,877-22-3308,Yangon,Miembro,Hombre,Health and beauty,15.87,10,7.935,166.635,Cash,158.7,5.8,2019-03-13,Wednesday,Laboral,Tarde,Detractores,-100,1,0.0019164440332154475
66,838-78-4295,Naypyitaw,Normal,Mujer,Health and beauty,33.47,2,3.347,70.28699999999999,Ewallet,66.94,6.7,2019-02-10,Sunday,Festivo,Tarde,Neutros,0,0,-0.008277314073227515
67,109-28-2512,Mandalay,Miembro,Mujer,Fashion accessories,97.61,6,29.283,614.943,Ewallet,585.66,9.9,2019-01-07,Monday,Laboral,Tarde,Promotores,100,0,-0.014549678051379189
68,232-11-3025,Yangon,Normal,Hombre,Sports and travel,78.77,10,39.385,827.085,Cash,787.7,6.4,2019-01-24,Thursday,Laboral,Mañana,Detractores,-100,0,-0.010236902949732118
69,382-03-4532,Yangon,Miembro,Mujer,Health and beauty,18.33,1,0.9165,19.2465,Cash,18.33,4.3,2019-02-02,Saturday,Laboral,Noche,Detractores,-100,1,0.004107381128421017
70,393-65-2792,Naypyitaw,Normal,Hombre,Food and beverages,89.48,10,44.74,939.54,Credit card,894.8,9.6,2019-01-06,Sunday,Festivo,Mañana,Promotores,100,1,0.008024946633714114
71,796-12-2025,Naypyitaw,Normal,Hombre,Fashion accessories,62.12,10,31.06,652.26,Cash,621.2,5.9,2019-02-11,Monday,Laboral,Tarde,Detractores,-100,0,-0.026562697049907213
72,510-95-6347,Mandalay,Miembro,Mujer,Food and beverages,48.52,3,7.278,152.838,Ewallet,145.56,4.0,2019-03-05,Tuesday,Laboral,Noche,Detractores,-100,0,-0.03275882661188145
73,841-35-6630,Naypyitaw,Normal,Mujer,Electronic accessories,75.91,6,22.773000000000003,478.233,Cash,455.46,8.7,2019-03-09,Saturday,Laboral,Noche,Promotores,100,0,-0.03064274890688279
74,287-21-9091,Yangon,Normal,Hombre,Home and lifestyle,74.67,9,33.6015,705.6315,Ewallet,672.03,9.4,2019-01-22,Tuesday,Laboral,Mañana,Promotores,100,0,-0.03046878249334206
75,732-94-0499,Naypyitaw,Normal,Mujer,Electronic accessories,41.65,10,20.825,437.325,Credit card,416.5,5.4,2019-01-13,Sunday,Festivo,Tarde,Detractores,-100,0,-0.008837642931479261
76,263-10-3913,Naypyitaw,Miembro,Hombre,Fashion accessories,49.04,9,22.068,463.42800000000005,Credit card,441.36,8.6,2019-01-09,Wednesday,Laboral,Tarde,Promotores,100,0,-0.015586055786166897
77,381-20-0914,Yangon,Miembro,Mujer,Fashion accessories,20.01,9,9.0045,189.0945,Credit card,180.09,5.7,2019-01-12,Saturday,Laboral,Tarde,Detractores,-100,0,-0.04324316412864637
78,829-49-1914,Naypyitaw,Miembro,Mujer,Food and beverages,78.31,10,39.155,822.255,Ewallet,783.1,6.6,2019-03-05,Tuesday,Laboral,Tarde,Neutros,0,0,-0.02196066222574855
79,756-01-7507,Naypyitaw,Normal,Mujer,Health and beauty,20.38,5,5.095,106.995,Cash,101.9,6.0,2019-01-22,Tuesday,Laboral,Noche,Detractores,-100,0,-0.02332048257038366
80,870-72-4431,Naypyitaw,Normal,Mujer,Health and beauty,99.19,6,29.756999999999998,624.8969999999999,Credit card,595.14,5.5,2019-01-21,Monday,Laboral,Tarde,Detractores,-100,0,-0.008700766977067786
81,847-38-7188,Mandalay,Normal,Mujer,Food and beverages,96.68,3,14.502,304.54200000000003,Ewallet,290.04,6.4,2019-01-26,Saturday,Laboral,Noche,Detractores,-100,0,-0.03291519592508896
82,480-63-2856,Naypyitaw,Normal,Hombre,Food and beverages,19.25,8,7.7,161.7,Ewallet,154.0,6.6,2019-01-23,Wednesday,Laboral,Noche,Neutros,0,0,-0.028575935960926335
83,787-56-0757,Naypyitaw,Miembro,Mujer,Food and beverages,80.36,4,16.072,337.51199999999994,Credit card,321.44,8.3,2019-02-23,Saturday,Laboral,Noche,Neutros,0,0,-0.03234642594276127
84,360-39-5055,Naypyitaw,Miembro,Hombre,Sports and travel,48.91,5,12.2275,256.7775,Cash,244.55,6.6,2019-03-09,Saturday,Laboral,Mañana,Neutros,0,0,-0.037761383928909154
85,730-50-9884,Naypyitaw,Normal,Mujer,Sports and travel,83.06,7,29.070999999999998,610.491,Ewallet,581.42,4.0,2019-03-05,Tuesday,Laboral,Tarde,Detractores,-100,1,0.0003497374969191336
86,362-58-8315,Naypyitaw,Normal,Hombre,Fashion accessories,76.52,5,19.13,401.73,Cash,382.6,9.9,2019-03-25,Monday,Laboral,Mañana,Promotores,100,0,-0.025067080643534023
87,633-44-8566,Yangon,Miembro,Hombre,Food and beverages,49.38,7,17.283,362.94300000000004,Credit card,345.66,7.3,2019-03-27,Wednesday,Festivo,Noche,Neutros,0,0,-0.04214330618687634
88,504-35-8843,Yangon,Normal,Hombre,Sports and travel,42.47,1,2.1235,44.5935,Cash,42.47,5.7,2019-01-02,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.0083459791678554
89,318-68-5053,Mandalay,Normal,Mujer,Health and beauty,76.99,6,23.096999999999998,485.037,Cash,461.94,6.1,2019-02-27,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.02331233208898431
90,565-80-5980,Naypyitaw,Miembro,Mujer,Home and lifestyle,47.38,4,9.476,198.99599999999998,Cash,189.52,7.1,2019-01-23,Wednesday,Laboral,Mañana,Neutros,0,0,-0.038642377030711494
91,225-32-0908,Naypyitaw,Normal,Mujer,Sports and travel,44.86,10,22.43,471.03,Ewallet,448.6,8.2,2019-01-26,Saturday,Laboral,Noche,Neutros,0,0,-0.014702785948621622
92,873-51-0671,Yangon,Miembro,Mujer,Sports and travel,21.98,7,7.693,161.553,Ewallet,153.86,5.1,2019-01-10,Thursday,Laboral,Tarde,Detractores,-100,0,-0.02408202540347615
93,152-08-9985,Mandalay,Miembro,Hombre,Health and beauty,64.36,9,28.962,608.202,Credit card,579.24,8.6,2019-03-12,Tuesday,Laboral,Mañana,Promotores,100,0,-0.013107262079694704
94,512-91-0811,Naypyitaw,Normal,Hombre,Health and beauty,89.75,1,4.4875,94.2375,Credit card,89.75,6.6,2019-02-06,Wednesday,Laboral,Noche,Neutros,0,0,-0.005268787275842235
95,594-34-4444,Yangon,Normal,Hombre,Electronic accessories,97.16,1,4.8580000000000005,102.01799999999999,Ewallet,97.16,7.2,2019-03-08,Friday,Laboral,Noche,Neutros,0,0,-0.007768496885537379
96,766-85-7061,Mandalay,Normal,Hombre,Health and beauty,87.87,10,43.935,922.635,Ewallet,878.7,5.1,2019-03-29,Friday,Laboral,Mañana,Detractores,-100,0,-0.006192587844654152
97,871-39-9221,Naypyitaw,Normal,Mujer,Electronic accessories,12.45,6,3.735,78.435,Cash,74.7,4.1,2019-02-09,Saturday,Laboral,Mañana,Detractores,-100,0,-0.015869535351285213
98,865-92-6136,Yangon,Normal,Hombre,Food and beverages,52.75,3,7.9125,166.1625,Ewallet,158.25,9.3,2019-03-23,Saturday,Laboral,Mañana,Promotores,100,0,-0.03636244890248841
99,733-01-9107,Mandalay,Normal,Hombre,Home and lifestyle,82.7,6,24.81,521.01,Cash,496.2,7.4,2019-03-05,Tuesday,Laboral,Noche,Neutros,0,0,-0.025442404527559193
100,163-56-7055,Naypyitaw,Miembro,Hombre,Fashion accessories,48.71,1,2.4355,51.1455,Cash,48.71,4.1,2019-03-26,Tuesday,Laboral,Noche,Detractores,-100,1,0.005113517502830067
101,189-98-2939,Naypyitaw,Normal,Hombre,Fashion accessories,78.55,9,35.3475,742.2975,Cash,706.95,7.2,2019-03-01,Friday,Laboral,Mañana,Neutros,0,0,-0.030016980627867507
102,551-21-3069,Naypyitaw,Normal,Mujer,Electronic accessories,23.07,9,10.3815,218.0115,Cash,207.63,4.9,2019-02-01,Friday,Laboral,Mañana,Detractores,-100,0,-0.04498693127961412
103,212-62-1842,Yangon,Normal,Hombre,Food and beverages,58.26,6,17.477999999999998,367.038,Cash,349.56,9.9,2019-03-28,Thursday,Laboral,Tarde,Promotores,100,0,-0.027312890322058414
104,716-39-1409,Mandalay,Normal,Hombre,Health and beauty,30.35,7,10.6225,223.0725,Cash,212.45,8.0,2019-03-19,Tuesday,Laboral,Noche,Neutros,0,0,-0.02352015237982985
105,704-48-3927,Yangon,Miembro,Hombre,Electronic accessories,88.67,10,44.335,931.035,Ewallet,886.7,7.3,2019-01-12,Saturday,Laboral,Tarde,Neutros,0,1,0.003218637919391143
106,628-34-3388,Naypyitaw,Normal,Hombre,Fashion accessories,27.38,6,8.214,172.49400000000003,Credit card,164.28,7.9,2019-01-05,Saturday,Laboral,Noche,Neutros,0,0,-0.03229276694573835
107,630-74-5166,Yangon,Normal,Hombre,Sports and travel,62.13,6,18.639,391.41900000000004,Cash,372.78,7.4,2019-03-22,Friday,Laboral,Noche,Neutros,0,0,-0.024589299075817972
108,588-01-7461,Naypyitaw,Normal,Mujer,Food and beverages,33.98,9,15.290999999999999,321.111,Cash,305.82,4.2,2019-03-24,Sunday,Festivo,Mañana,Detractores,-100,0,-0.029359626590808707
109,861-77-0145,Naypyitaw,Miembro,Hombre,Electronic accessories,81.97,10,40.985,860.685,Cash,819.7,9.2,2019-03-03,Sunday,Festivo,Tarde,Promotores,100,1,0.0002905014546643603
110,479-26-8945,Mandalay,Miembro,Mujer,Sports and travel,16.49,2,1.649,34.629,Ewallet,32.98,4.6,2019-02-05,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.013534058737431853
111,210-67-5886,Naypyitaw,Miembro,Mujer,Health and beauty,98.21,3,14.7315,309.3615,Credit card,294.63,7.8,2019-02-05,Tuesday,Laboral,Mañana,Neutros,0,0,-0.01366972072023065
112,227-78-1148,Mandalay,Normal,Mujer,Fashion accessories,72.84,7,25.494,535.374,Cash,509.88,8.4,2019-02-15,Friday,Laboral,Mañana,Neutros,0,0,-0.053267917030707435
113,645-44-1170,Yangon,Miembro,Hombre,Home and lifestyle,58.07,9,26.1315,548.7615,Ewallet,522.63,4.3,2019-01-19,Saturday,Laboral,Noche,Detractores,-100,0,-0.0205644748790903
114,237-01-6122,Naypyitaw,Miembro,Mujer,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,727.11,9.5,2019-02-01,Friday,Laboral,Noche,Promotores,100,0,-0.007765786491293114
115,225-98-1496,Naypyitaw,Normal,Mujer,Fashion accessories,27.02,3,4.053,85.113,Credit card,81.06,7.1,2019-03-02,Saturday,Festivo,Mañana,Neutros,0,0,-0.04057068888226334
116,291-32-1427,Mandalay,Miembro,Hombre,Fashion accessories,21.94,5,5.485,115.185,Ewallet,109.7,5.3,2019-03-05,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.02249483783153161
117,659-65-8956,Mandalay,Miembro,Hombre,Fashion accessories,51.36,1,2.568,53.928000000000004,Ewallet,51.36,5.2,2019-01-16,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.03094577141411592
118,642-32-2990,Yangon,Normal,Mujer,Food and beverages,10.96,10,5.48,115.08,Ewallet,109.6,6.0,2019-02-02,Saturday,Laboral,Noche,Detractores,-100,0,-0.023522525537445715
119,378-24-2715,Mandalay,Normal,Hombre,Home and lifestyle,53.44,2,5.343999999999999,112.22399999999999,Ewallet,106.88,4.1,2019-01-20,Sunday,Festivo,Noche,Detractores,-100,0,-0.013232101836459287
120,638-60-7125,Yangon,Normal,Mujer,Electronic accessories,99.56,8,39.824,836.304,Credit card,796.48,5.2,2019-02-14,Thursday,Laboral,Tarde,Detractores,-100,0,-0.00465660249237998
121,659-36-1684,Naypyitaw,Miembro,Hombre,Sports and travel,57.12,7,19.992,419.832,Credit card,399.84,6.5,2019-01-12,Saturday,Laboral,Mañana,Neutros,0,0,-0.03361251582256708
122,219-22-9386,Mandalay,Miembro,Hombre,Sports and travel,99.96,9,44.982,944.622,Credit card,899.64,4.2,2019-03-09,Saturday,Laboral,Tarde,Detractores,-100,0,-0.003946610612833523
123,336-78-2147,Naypyitaw,Miembro,Hombre,Home and lifestyle,63.91,8,25.564,536.844,Credit card,511.28,4.6,2019-03-13,Wednesday,Laboral,Noche,Detractores,-100,0,-0.006629519083484858
124,268-27-6179,Mandalay,Miembro,Mujer,Fashion accessories,56.47,8,22.588,474.348,Ewallet,451.76,7.3,2019-03-09,Saturday,Laboral,Tarde,Neutros,0,0,-0.03594903737130173
125,668-90-8900,Yangon,Normal,Mujer,Home and lifestyle,93.69,7,32.7915,688.6215,Credit card,655.83,4.5,2019-03-10,Sunday,Festivo,Noche,Detractores,-100,1,0.00021013515057566323
126,870-54-3162,Yangon,Normal,Mujer,Sports and travel,32.25,5,8.0625,169.3125,Cash,161.25,9.0,2019-01-27,Sunday,Festivo,Mañana,Promotores,100,0,-0.03310613757287706
127,189-08-9157,Naypyitaw,Normal,Mujer,Fashion accessories,31.73,9,14.2785,299.8485,Credit card,285.57,5.9,2019-01-08,Tuesday,Laboral,Tarde,Detractores,-100,0,-0.030956456915274377
128,663-86-9076,Naypyitaw,Miembro,Mujer,Food and beverages,68.54,8,27.416,575.736,Ewallet,548.32,8.5,2019-01-08,Tuesday,Laboral,Tarde,Promotores,100,0,-0.03163534868571649
129,549-84-7482,Mandalay,Normal,Mujer,Sports and travel,90.28,9,40.626,853.1460000000001,Ewallet,812.52,7.2,2019-02-08,Friday,Laboral,Mañana,Neutros,0,0,-0.023386021377239774
130,191-10-6171,Mandalay,Normal,Mujer,Fashion accessories,39.62,7,13.867,291.207,Cash,277.34,7.5,2019-01-25,Friday,Laboral,Mañana,Neutros,0,0,-0.06070818088602803
131,802-70-5316,Yangon,Miembro,Mujer,Sports and travel,92.13,6,27.639,580.419,Cash,552.78,8.3,2019-03-06,Wednesday,Laboral,Noche,Neutros,0,0,-0.009627471245172603
132,695-51-0018,Mandalay,Normal,Mujer,Sports and travel,34.84,4,6.968,146.328,Cash,139.36,7.4,2019-02-10,Sunday,Festivo,Noche,Neutros,0,0,-0.033713090358857056
133,590-83-4591,Mandalay,Miembro,Hombre,Electronic accessories,87.45,6,26.235,550.935,Credit card,524.7,8.8,2019-02-17,Sunday,Festivo,Tarde,Promotores,100,0,-0.0208605183487639
