,Factura,Ciudad,Tipo_cliente,Genero,Linea_producto,Precio_unidad,Cantidad,Impuesto,Total,Forma_pago,Coste,Calificacion,Fecha2,Dia,Jornada,Horario,Calificacion2,ISG,Anomaly,Anomaly_Score,Cluster
10,556-86-3144,Naypyitaw,Miembro,Mujer,Fashion accessories,74.29,1,3.7145,78.0045,Cash,74.29,5.0,2019-01-13,Sunday,Festivo,Noche,Detractores,-100,0,-0.0027903496829294605,Cluster 2
11,468-01-2051,Mandalay,Normal,Hombre,Food and beverages,62.08,7,21.728,456.288,Ewallet,434.56,5.4,2019-03-06,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.018440414411960537,Cluster 0
12,817-69-8206,Mandalay,Normal,Mujer,Electronic accessories,99.73,9,44.8785,942.4485,Credit card,897.57,6.5,2019-03-02,Saturday,Festivo,Noche,Neutros,0,1,0.02017604223660296,Cluster 2
13,595-86-2894,Naypyitaw,Miembro,Hombre,Fashion accessories,96.98,4,19.396,407.316,Ewallet,387.92,9.4,2019-02-06,Wednesday,Laboral,Tarde,Promotores,100,0,-0.018444575607303167,Cluster 1
14,279-74-2924,Mandalay,Miembro,Hombre,Electronic accessories,72.17,1,3.6085,75.7785,Cash,72.17,6.1,2019-01-04,Friday,Festivo,Noche,Detractores,-100,0,-0.0169425848499567,Cluster 2
15,719-76-3868,Naypyitaw,Miembro,Hombre,Food and beverages,94.26,4,18.852,395.892,Cash,377.04,8.6,2019-03-12,Tuesday,Laboral,Tarde,Promotores,100,0,-0.021232269649663738,Cluster 1
16,525-09-8450,Mandalay,Normal,Hombre,Electronic accessories,72.13,10,36.065,757.365,Credit card,721.3,4.2,2019-01-31,Thursday,Laboral,Tarde,Detractores,-100,1,0.0017632574367596465,Cluster 1
17,649-11-3678,Naypyitaw,Normal,Mujer,Food and beverages,22.93,9,10.3185,216.6885,Cash,206.37,5.5,2019-02-26,Tuesday,Laboral,Noche,Detractores,-100,0,-0.02184159620031889,Cluster 2
18,477-24-6490,Mandalay,Normal,Mujer,Health and beauty,99.71,6,29.913,628.173,Ewallet,598.26,7.9,2019-02-26,Tuesday,Laboral,Tarde,Neutros,0,0,-0.020705760222137548,Cluster 1
19,186-09-3669,Naypyitaw,Miembro,Mujer,Health and beauty,81.51,1,4.0755,85.5855,Ewallet,81.51,9.2,2019-01-22,Tuesday,Laboral,Mañana,Promotores,100,0,-0.005009113666723852,Cluster 0
20,730-70-9830,Naypyitaw,Normal,Mujer,Home and lifestyle,70.11,6,21.033,441.693,Ewallet,420.66,5.2,2019-03-14,Thursday,Laboral,Tarde,Detractores,-100,0,-0.028056927985805724,Cluster 1
21,779-06-0012,Naypyitaw,Miembro,Mujer,Home and lifestyle,88.61,1,4.4305,93.0405,Cash,88.61,7.7,2019-01-19,Saturday,Laboral,Mañana,Neutros,0,0,-0.02684146295742984,Cluster 0
22,721-86-6247,Yangon,Normal,Mujer,Home and lifestyle,63.42,8,25.368,532.7280000000002,Ewallet,507.36,7.4,2019-03-11,Monday,Laboral,Mañana,Neutros,0,0,-0.043296277377059655,Cluster 0
23,781-84-8059,Naypyitaw,Normal,Hombre,Fashion accessories,60.74,7,21.259,446.439,Ewallet,425.18,5.0,2019-01-18,Friday,Laboral,Tarde,Detractores,-100,0,-0.03383673755454941,Cluster 1
24,585-11-6748,Mandalay,Miembro,Hombre,Sports and travel,96.8,3,14.52,304.92,Cash,290.4,5.3,2019-03-15,Friday,Laboral,Mañana,Detractores,-100,0,-0.025341236369764156,Cluster 0
25,148-41-7930,Naypyitaw,Normal,Hombre,Health and beauty,99.96,7,34.986,734.706,Cash,699.72,6.1,2019-01-23,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.008462658665168377,Cluster 0
26,386-27-7606,Naypyitaw,Miembro,Mujer,Home and lifestyle,81.2,7,28.42,596.82,Credit card,568.4,8.1,2019-03-23,Saturday,Laboral,Tarde,Neutros,0,0,-0.02200583497553732,Cluster 1
27,730-50-9884,Naypyitaw,Normal,Mujer,Sports and travel,83.06,7,29.071,610.491,Ewallet,581.42,4.0,2019-03-05,Tuesday,Laboral,Tarde,Detractores,-100,1,0.00034973749691913364,Cluster 1
28,311-13-6971,Mandalay,Miembro,Hombre,Sports and travel,31.99,10,15.995,335.895,Credit card,319.9,9.9,2019-02-20,Wednesday,Laboral,Tarde,Promotores,100,0,-0.004652093369924559,Cluster 1
29,315-22-5665,Naypyitaw,Normal,Mujer,Home and lifestyle,73.56,10,36.78,772.38,Ewallet,735.6,8.0,2019-02-24,Sunday,Festivo,Mañana,Neutros,0,0,-0.007890250139217292,Cluster 0
30,776-68-1096,Mandalay,Normal,Hombre,Home and lifestyle,44.12,3,6.6179999999999986,138.97799999999998,Credit card,132.36,7.9,2019-03-18,Monday,Laboral,Mañana,Neutros,0,0,-0.02630377297743325,Cluster 0
31,228-96-1411,Naypyitaw,Miembro,Mujer,Food and beverages,98.7,8,39.48,829.08,Cash,789.6,7.6,2019-03-04,Monday,Laboral,Noche,Neutros,0,1,0.002691404237005868,Cluster 2
32,718-57-9773,Naypyitaw,Normal,Mujer,Sports and travel,49.33,10,24.665,517.965,Credit card,493.3,9.4,2019-02-03,Sunday,Festivo,Tarde,Promotores,100,0,-0.0029313424755134103,Cluster 1
33,603-07-0961,Naypyitaw,Miembro,Hombre,Electronic accessories,74.79,5,18.6975,392.6475,Cash,373.95,4.9,2019-01-10,Thursday,Laboral,Mañana,Detractores,-100,0,-0.03282233498911113,Cluster 0
34,737-88-5876,Yangon,Miembro,Hombre,Home and lifestyle,23.29,4,4.658,97.818,Credit card,93.16,5.9,2019-03-19,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.041639120428419774,Cluster 0
35,546-80-2899,Yangon,Miembro,Hombre,Home and lifestyle,37.69,2,3.769,79.149,Ewallet,75.38,9.5,2019-02-20,Wednesday,Laboral,Tarde,Promotores,100,0,-0.03896469237820244,Cluster 1
36,565-67-6697,Mandalay,Miembro,Hombre,Home and lifestyle,27.0,9,12.15,255.15,Cash,243.0,4.8,2019-03-02,Saturday,Festivo,Tarde,Detractores,-100,0,-0.02037908568193769,Cluster 1
37,458-41-1477,Naypyitaw,Normal,Mujer,Health and beauty,46.26,6,13.878,291.438,Credit card,277.56,9.5,2019-03-08,Friday,Laboral,Tarde,Promotores,100,0,-0.020560461939665986,Cluster 1
38,441-94-7118,Yangon,Miembro,Hombre,Electronic accessories,71.95,1,3.5975,75.5475,Cash,71.95,7.3,2019-02-04,Monday,Laboral,Mañana,Neutros,0,0,-0.023901173005627663,Cluster 0
39,302-15-2162,Naypyitaw,Miembro,Hombre,Health and beauty,46.53,6,13.959,293.139,Credit card,279.18,4.3,2019-03-03,Sunday,Festivo,Mañana,Detractores,-100,0,-0.01743414141222477,Cluster 0
40,759-98-4285,Naypyitaw,Miembro,Mujer,Health and beauty,85.87,7,30.0545,631.1445,Credit card,601.09,8.0,2019-02-27,Wednesday,Laboral,Noche,Neutros,0,0,-0.013584778176829236,Cluster 2
41,898-04-2717,Yangon,Normal,Hombre,Fashion accessories,76.4,9,34.38,721.98,Ewallet,687.6,7.5,2019-03-19,Tuesday,Laboral,Tarde,Neutros,0,0,-0.024977740656382696,Cluster 1
42,420-04-7590,Mandalay,Normal,Hombre,Home and lifestyle,99.7,3,14.955,314.055,Ewallet,299.1,4.7,2019-03-18,Monday,Laboral,Mañana,Detractores,-100,0,-0.03263415848026219,Cluster 0
43,532-59-7201,Mandalay,Miembro,Hombre,Sports and travel,79.93,6,23.979,503.559,Cash,479.58,5.5,2019-01-31,Thursday,Laboral,Tarde,Detractores,-100,0,-0.03062222188562092,Cluster 1
44,196-01-2849,Naypyitaw,Miembro,Mujer,Fashion accessories,73.38,7,25.683000000000003,539.3430000000002,Cash,513.66,9.5,2019-02-10,Sunday,Festivo,Mañana,Promotores,100,0,-0.024832318227483663,Cluster 0
45,266-20-6657,Naypyitaw,Miembro,Hombre,Food and beverages,55.04,7,19.264,404.544,Ewallet,385.28,5.2,2019-03-12,Tuesday,Laboral,Noche,Detractores,-100,0,-0.041581498709813085,Cluster 2
46,633-09-3463,Naypyitaw,Normal,Mujer,Electronic accessories,47.65,3,7.1475,150.0975,Credit card,142.95,9.5,2019-03-28,Thursday,Laboral,Mañana,Promotores,100,0,-0.004581160554358865,Cluster 0
47,509-10-0516,Mandalay,Normal,Hombre,Home and lifestyle,45.97,4,9.194,193.074,Ewallet,183.88,5.1,2019-02-09,Saturday,Laboral,Mañana,Detractores,-100,0,-0.04055250953663403,Cluster 0
48,704-20-4138,Naypyitaw,Miembro,Mujer,Health and beauty,29.67,7,10.3845,218.0745,Credit card,207.69,8.1,2019-03-11,Monday,Laboral,Noche,Neutros,0,0,-0.01188024546287436,Cluster 2
49,115-99-4379,Mandalay,Miembro,Mujer,Fashion accessories,54.73,7,19.1555,402.2655,Credit card,383.11,8.5,2019-03-14,Thursday,Laboral,Noche,Promotores,100,0,-0.02713971701173834,Cluster 2
50,275-28-0149,Yangon,Normal,Hombre,Sports and travel,63.69,1,3.1845,66.8745,Cash,63.69,6.0,2019-02-25,Monday,Laboral,Tarde,Detractores,-100,0,-0.012644852672023421,Cluster 1
51,173-50-1108,Mandalay,Miembro,Mujer,Sports and travel,20.18,4,4.0360000000000005,84.756,Credit card,80.72,5.0,2019-02-13,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.03301568330353877,Cluster 0
52,886-77-9084,Naypyitaw,Normal,Hombre,Electronic accessories,71.89,8,28.756,603.876,Ewallet,575.12,5.5,2019-02-19,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.01569684093936574,Cluster 0
53,749-81-8133,Yangon,Normal,Mujer,Fashion accessories,94.67,4,18.934,397.614,Cash,378.68,6.8,2019-03-11,Monday,Laboral,Mañana,Neutros,0,0,-0.03077672711672175,Cluster 0
54,725-56-0833,Yangon,Normal,Mujer,Health and beauty,32.32,10,16.16,339.36,Credit card,323.2,10.0,2019-02-20,Wednesday,Laboral,Tarde,Promotores,100,0,-0.0005061491549614994,Cluster 1
55,848-24-9445,Naypyitaw,Miembro,Hombre,Health and beauty,43.7,2,4.37,91.77,Cash,87.4,4.9,2019-03-26,Tuesday,Laboral,Noche,Detractores,-100,0,-0.018680578329233092,Cluster 2
56,859-71-0933,Naypyitaw,Miembro,Mujer,Sports and travel,15.49,2,1.5490000000000002,32.529,Cash,30.98,6.3,2019-01-16,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.006805396768983729,Cluster 1
57,687-47-8271,Yangon,Normal,Hombre,Fashion accessories,98.98,10,49.49,1039.29,Credit card,989.8,8.7,2019-02-08,Friday,Laboral,Tarde,Promotores,100,1,0.004741623258905482,Cluster 1
58,123-35-4896,Naypyitaw,Normal,Mujer,Sports and travel,46.66,9,20.997,440.937,Ewallet,419.94,5.3,2019-02-17,Sunday,Festivo,Noche,Detractores,-100,0,-0.01769549206495824,Cluster 2
59,563-36-9814,Yangon,Miembro,Hombre,Electronic accessories,76.82,1,3.841,80.661,Ewallet,76.82,7.2,2019-02-13,Wednesday,Laboral,Noche,Neutros,0,0,-0.02053635570939472,Cluster 2
60,759-29-9521,Yangon,Miembro,Mujer,Fashion accessories,48.96,9,22.032,462.672,Cash,440.64,8.0,2019-03-04,Monday,Laboral,Mañana,Neutros,0,0,-0.032571797054598665,Cluster 0
61,339-12-4827,Mandalay,Miembro,Mujer,Fashion accessories,73.96,1,3.698,77.658,Credit card,73.96,5.0,2019-01-05,Saturday,Laboral,Mañana,Detractores,-100,0,-0.03033460801842114,Cluster 0
62,733-33-4967,Naypyitaw,Normal,Hombre,Electronic accessories,20.85,8,8.34,175.14,Cash,166.8,6.3,2019-03-03,Sunday,Festivo,Noche,Detractores,-100,0,-0.025264711597455247,Cluster 2
63,237-44-6163,Yangon,Normal,Hombre,Electronic accessories,10.56,8,4.224,88.704,Cash,84.48,7.6,2019-01-24,Thursday,Laboral,Tarde,Neutros,0,0,-0.012583900429034456,Cluster 1
64,851-28-6367,Yangon,Miembro,Hombre,Sports and travel,15.5,10,7.75,162.75,Ewallet,155.0,8.0,2019-03-23,Saturday,Laboral,Mañana,Neutros,0,0,-0.020892162729826858,Cluster 0
65,191-29-0321,Mandalay,Miembro,Mujer,Fashion accessories,19.77,10,9.885,207.585,Credit card,197.7,5.0,2019-02-27,Wednesday,Laboral,Noche,Detractores,-100,0,-0.022135660450648853,Cluster 2
66,516-77-6464,Naypyitaw,Miembro,Mujer,Health and beauty,10.16,5,2.54,53.34,Ewallet,50.8,4.1,2019-02-24,Sunday,Festivo,Mañana,Detractores,-100,1,0.008392328344388078,Cluster 0
67,284-54-4231,Naypyitaw,Miembro,Hombre,Sports and travel,80.93,1,4.0465,84.9765,Credit card,80.93,9.0,2019-01-19,Saturday,Laboral,Tarde,Promotores,100,0,-0.025550756344315032,Cluster 1
68,172-42-8274,Mandalay,Normal,Mujer,Electronic accessories,38.27,2,3.827,80.367,Credit card,76.54,5.8,2019-03-02,Saturday,Festivo,Noche,Detractores,-100,0,-0.015238274468025725,Cluster 2
69,316-55-4634,Mandalay,Miembro,Hombre,Food and beverages,80.05,5,20.0125,420.2625,Credit card,400.25,9.4,2019-01-26,Saturday,Laboral,Mañana,Promotores,100,0,-0.02422973259401306,Cluster 0
70,135-84-8019,Yangon,Normal,Mujer,Fashion accessories,77.93,9,35.0685,736.4385,Ewallet,701.37,7.6,2019-02-27,Wednesday,Laboral,Tarde,Neutros,0,0,-0.02082870595959541,Cluster 1
71,784-21-9238,Naypyitaw,Miembro,Hombre,Sports and travel,10.17,1,0.5085,10.6785,Cash,10.17,5.9,2019-02-07,Thursday,Laboral,Tarde,Detractores,-100,1,0.008184553231580072,Cluster 1
72,608-05-3804,Mandalay,Miembro,Hombre,Electronic accessories,39.75,1,1.9875,41.7375,Cash,39.75,6.1,2019-02-25,Monday,Laboral,Noche,Detractores,-100,0,-0.010471855582000922,Cluster 2
73,568-90-5112,Naypyitaw,Normal,Hombre,Health and beauty,66.14,4,13.228,277.788,Credit card,264.56,5.6,2019-03-19,Tuesday,Laboral,Mañana,Detractores,-100,0,-0.0315712052357936,Cluster 0
74,539-21-7227,Mandalay,Normal,Mujer,Sports and travel,51.54,5,12.885,270.585,Cash,257.7,4.2,2019-01-26,Saturday,Laboral,Tarde,Detractores,-100,0,-0.04351110566085181,Cluster 1
75,794-32-2436,Mandalay,Miembro,Hombre,Electronic accessories,55.67,2,5.567,116.907,Ewallet,111.34,6.0,2019-03-27,Wednesday,Festivo,Tarde,Detractores,-100,0,-0.031558637309718966,Cluster 1
76,448-34-8700,Mandalay,Miembro,Hombre,Home and lifestyle,36.91,7,12.9185,271.2885,Ewallet,258.37,6.7,2019-02-10,Sunday,Festivo,Mañana,Neutros,0,0,-0.03585274312664699,Cluster 0
77,501-61-1753,Mandalay,Normal,Mujer,Home and lifestyle,63.15,6,18.945,397.845,Ewallet,378.9,9.8,2019-01-03,Thursday,Laboral,Noche,Promotores,100,0,-0.018009837536118956,Cluster 2
78,586-25-0848,Yangon,Normal,Mujer,Sports and travel,12.34,7,4.319,90.699,Credit card,86.38,6.7,2019-03-04,Monday,Laboral,Mañana,Neutros,0,0,-0.018061258917810408,Cluster 0
79,544-32-5024,Naypyitaw,Miembro,Mujer,Food and beverages,49.79,4,9.958,209.118,Credit card,199.16,6.4,2019-03-28,Thursday,Laboral,Noche,Detractores,-100,0,-0.02341673236871067,Cluster 2
80,345-08-4992,Yangon,Normal,Hombre,Home and lifestyle,33.99,6,10.197,214.137,Credit card,203.94,7.7,2019-03-08,Friday,Laboral,Tarde,Neutros,0,0,-0.03368660911411181,Cluster 1
81,808-65-0703,Naypyitaw,Normal,Hombre,Home and lifestyle,35.47,4,7.0939999999999985,148.974,Credit card,141.88,6.9,2019-03-14,Thursday,Laboral,Tarde,Neutros,0,0,-0.02417052270199049,Cluster 1
82,559-61-5987,Mandalay,Normal,Mujer,Health and beauty,17.75,1,0.8875,18.6375,Cash,17.75,8.6,2019-01-14,Monday,Laboral,Mañana,Promotores,100,0,-0.01077964550138144,Cluster 0
83,453-12-7053,Naypyitaw,Normal,Hombre,Fashion accessories,45.74,3,6.8610000000000015,144.08100000000005,Credit card,137.22,6.5,2019-03-10,Sunday,Festivo,Tarde,Neutros,0,0,-0.02819231009079925,Cluster 1
84,268-20-3585,Naypyitaw,Normal,Mujer,Health and beauty,13.85,9,6.2325,130.8825,Ewallet,124.65,6.0,2019-02-04,Monday,Laboral,Mañana,Detractores,-100,0,-0.010023797653024856,Cluster 0
85,237-01-6122,Naypyitaw,Miembro,Mujer,Home and lifestyle,80.79,9,36.3555,763.4655,Credit card,727.11,9.5,2019-02-01,Friday,Laboral,Noche,Promotores,100,0,-0.007765786491293114,Cluster 2
86,250-81-7186,Naypyitaw,Normal,Mujer,Electronic accessories,99.69,1,4.9845,104.6745,Credit card,99.69,8.0,2019-02-27,Wednesday,Laboral,Mañana,Neutros,0,0,-0.0004763265403930905,Cluster 0
87,374-38-5555,Mandalay,Normal,Mujer,Fashion accessories,63.71,5,15.9275,334.4775,Ewallet,318.55,8.5,2019-02-07,Thursday,Laboral,Noche,Promotores,100,0,-0.030939685399783427,Cluster 2
88,269-10-8440,Yangon,Miembro,Hombre,Health and beauty,53.17,7,18.6095,390.7995,Cash,372.19,8.9,2019-01-21,Monday,Laboral,Noche,Promotores,100,0,-0.01526955573034905,Cluster 2
89,699-14-3026,Naypyitaw,Normal,Hombre,Electronic accessories,85.39,7,29.8865,627.6165,Ewallet,597.73,4.1,2019-03-25,Monday,Laboral,Noche,Detractores,-100,0,-0.005202988243234175,Cluster 2
90,695-09-5146,Mandalay,Miembro,Mujer,Food and beverages,98.79,3,14.8185,311.1885,Ewallet,296.37,6.4,2019-02-23,Saturday,Laboral,Noche,Detractores,-100,0,-0.027509488536206383,Cluster 2
91,764-44-8999,Mandalay,Normal,Mujer,Health and beauty,14.76,2,1.476,30.996,Ewallet,29.52,4.3,2019-02-18,Monday,Laboral,Tarde,Detractores,-100,0,-0.0060001906014884865,Cluster 1
92,243-55-8457,Yangon,Normal,Mujer,Food and beverages,74.44,10,37.22,781.62,Ewallet,744.4,5.1,2019-02-27,Wednesday,Laboral,Mañana,Detractores,-100,0,-0.004429202631248463,Cluster 0
93,554-53-8700,Naypyitaw,Miembro,Hombre,Home and lifestyle,56.11,2,5.6110000000000015,117.831,Cash,112.22,6.3,2019-02-02,Saturday,Laboral,Mañana,Detractores,-100,0,-0.02969338491564444,Cluster 0
94,483-71-1164,Naypyitaw,Normal,Mujer,Health and beauty,81.3,6,24.39,512.19,Ewallet,487.8,5.3,2019-03-08,Friday,Laboral,Tarde,Detractores,-100,0,-0.015089713732960974,Cluster 1
95,131-70-8179,Yangon,Miembro,Mujer,Health and beauty,92.09,3,13.8135,290.0835,Cash,276.27,4.2,2019-02-17,Sunday,Festivo,Tarde,Detractores,-100,0,-0.004641781314116744,Cluster 1
96,778-34-2523,Yangon,Miembro,Mujer,Electronic accessories,48.62,8,19.448,408.408,Cash,388.96,5.0,2019-01-24,Thursday,Laboral,Mañana,Detractores,-100,0,-0.02844598485059047,Cluster 0
97,652-49-6720,Naypyitaw,Miembro,Mujer,Electronic accessories,60.95,1,3.0475,63.9975,Ewallet,60.95,5.9,2019-02-18,Monday,Laboral,Mañana,Detractores,-100,0,-0.004614739436662241,Cluster 0
98,220-68-6701,Yangon,Normal,Mujer,Home and lifestyle,77.47,4,15.494000000000002,325.374,Cash,309.88,4.2,2019-03-17,Sunday,Festivo,Tarde,Detractores,-100,0,-0.02718645819721732,Cluster 1
99,712-39-0363,Yangon,Miembro,Hombre,Food and beverages,41.66,6,12.498,262.458,Ewallet,249.96,5.6,2019-01-02,Wednesday,Laboral,Tarde,Detractores,-100,0,-0.036390812754151125,Cluster 1
100,154-87-7367,Naypyitaw,Normal,Hombre,Home and lifestyle,65.26,8,26.104,548.184,Ewallet,522.08,6.3,2019-03-15,Friday,Laboral,Tarde,Detractores,-100,0,-0.02558482522965444,Cluster 1
101,458-10-8612,Naypyitaw,Normal,Hombre,Health and beauty,64.08,7,22.428,470.98800000000006,Ewallet,448.56,7.6,2019-01-20,Sunday,Festivo,Mañana,Neutros,0,0,-0.017159504387769475,Cluster 0
102,840-76-5966,Yangon,Miembro,Hombre,Sports and travel,12.76,2,1.276,26.796,Ewallet,25.52,7.8,2019-01-08,Tuesday,Laboral,Noche,Neutros,0,0,-0.009361476774912836,Cluster 2
103,631-34-1880,Naypyitaw,Miembro,Hombre,Food and beverages,24.31,3,3.6465,76.5765,Credit card,72.93,4.3,2019-01-08,Tuesday,Laboral,Noche,Detractores,-100,0,-0.012487646193670264,Cluster 2
104,744-16-7898,Mandalay,Normal,Mujer,Home and lifestyle,97.37,10,48.685,1022.385,Credit card,973.7,4.9,2019-01-15,Tuesday,Laboral,Mañana,Detractores,-100,1,0.003962958110428239,Cluster 0
105,431-66-2305,Mandalay,Normal,Mujer,Electronic accessories,88.25,9,39.7125,833.9625,Credit card,794.25,7.6,2019-02-15,Friday,Laboral,Noche,Neutros,0,1,0.008499122207517362,Cluster 2
106,866-05-7563,Mandalay,Miembro,Mujer,Electronic accessories,81.4,3,12.21,256.41,Cash,244.2,4.8,2019-02-09,Saturday,Laboral,Noche,Detractores,-100,0,-0.03389372835268023,Cluster 2
107,787-87-2010,Yangon,Miembro,Hombre,Health and beauty,55.5,4,11.1,233.1,Credit card,222.0,6.6,2019-01-20,Sunday,Festivo,Tarde,Neutros,0,0,-0.02925908349060835,Cluster 1
108,500-02-2261,Naypyitaw,Normal,Mujer,Food and beverages,57.29,6,17.187,360.927,Ewallet,343.74,5.9,2019-03-21,Thursday,Laboral,Tarde,Detractores,-100,0,-0.036600307552387856,Cluster 1
109,669-54-1719,Mandalay,Miembro,Hombre,Electronic accessories,18.93,6,5.6789999999999985,119.259,Credit card,113.58,8.1,2019-02-10,Sunday,Festivo,Mañana,Neutros,0,0,-0.028781286172783523,Cluster 0
110,538-22-0304,Naypyitaw,Normal,Hombre,Electronic accessories,64.95,10,32.475,681.975,Cash,649.5,5.2,2019-03-24,Sunday,Festivo,Noche,Detractores,-100,0,-0.0030541581129910345,Cluster 2
111,327-40-9673,Mandalay,Miembro,Hombre,Sports and travel,72.6,6,21.78,457.38,Cash,435.6,6.9,2019-01-13,Sunday,Festivo,Noche,Neutros,0,0,-0.02419738022175677,Cluster 2
112,428-83-5800,Naypyitaw,Miembro,Mujer,Food and beverages,21.08,3,3.162,66.402,Cash,63.24,7.3,2019-02-09,Saturday,Laboral,Mañana,Neutros,0,0,-0.028040282069320743,Cluster 0
113,235-46-8343,Naypyitaw,Miembro,Hombre,Food and beverages,27.66,10,13.83,290.43,Credit card,276.6,8.9,2019-02-14,Thursday,Laboral,Mañana,Promotores,100,0,-0.0169738386534678,Cluster 0
114,423-64-4619,Yangon,Miembro,Mujer,Health and beauty,15.55,9,6.9975,146.9475,Cash,139.95,5.0,2019-03-07,Thursday,Laboral,Mañana,Detractores,-100,0,-0.021686383273289308,Cluster 0
115,750-57-9686,Naypyitaw,Normal,Mujer,Home and lifestyle,45.38,4,9.076,190.596,Credit card,181.52,8.7,2019-01-08,Tuesday,Laboral,Mañana,Promotores,100,0,-0.036330228542453484,Cluster 0
116,343-61-3544,Mandalay,Miembro,Hombre,Sports and travel,26.67,10,13.335,280.035,Cash,266.7,8.6,2019-01-29,Tuesday,Laboral,Mañana,Promotores,100,0,-0.0143054877526666,Cluster 0
117,181-82-6255,Mandalay,Normal,Mujer,Home and lifestyle,16.37,6,4.9110000000000005,103.131,Cash,98.22,7.0,2019-02-08,Friday,Laboral,Mañana,Neutros,0,0,-0.03318290765806353,Cluster 0
118,212-62-1842,Yangon,Normal,Hombre,Food and beverages,58.26,6,17.477999999999998,367.038,Cash,349.56,9.9,2019-03-28,Thursday,Laboral,Tarde,Promotores,100,0,-0.027312890322058414,Cluster 1
119,343-87-0864,Naypyitaw,Miembro,Hombre,Health and beauty,75.88,1,3.794,79.67399999999998,Credit card,75.88,7.1,2019-01-03,Thursday,Laboral,Mañana,Neutros,0,0,-0.024485799786144517,Cluster 0
120,114-35-5271,Mandalay,Normal,Mujer,Electronic accessories,57.91,8,23.164,486.444,Cash,463.28,8.1,2019-02-07,Thursday,Laboral,Tarde,Neutros,0,0,-0.027641546046872408,Cluster 1
121,322-02-2271,Mandalay,Normal,Mujer,Sports and travel,42.97,3,6.4455,135.3555,Cash,128.91,9.3,2019-02-03,Sunday,Festivo,Mañana,Promotores,100,0,-0.02357751016855236,Cluster 0
122,232-16-2483,Naypyitaw,Miembro,Mujer,Sports and travel,68.12,1,3.406,71.52600000000002,Ewallet,68.12,6.8,2019-01-07,Monday,Laboral,Mañana,Neutros,0,0,-0.0087856380740714,Cluster 0
123,852-82-2749,Yangon,Normal,Hombre,Sports and travel,64.59,4,12.918,271.278,Ewallet,258.36,9.3,2019-01-06,Sunday,Festivo,Mañana,Promotores,100,0,-0.029108379655267688,Cluster 0
124,722-13-2115,Naypyitaw,Miembro,Hombre,Sports and travel,42.85,1,2.1425,44.9925,Credit card,42.85,9.3,2019-03-14,Thursday,Laboral,Tarde,Promotores,100,0,-0.01469075838207534,Cluster 1
