,edad,ocupacion,estadocivil,estudios,descubierto,saldoanual,hipoteca,prestamo,canalcontacto,dia,mes,duracion,contactosactuales,contactoanterior,contactosprevios,contrata,contratanum,Anomaly,Anomaly_Score,Label,Score,perfil
40,53,admin.,married,secondary,0,244,1,1,others,6,may,197,2,-1,0,no,0,0,-0.0937269134717016,no,0.7795,No interesante
41,29,student,single,secondary,0,948,1,0,others,6,may,75,2,-1,0,no,0,0,-0.11226675282650717,no,0.7694,No interesante
42,40,blue-collar,divorced,primary,0,369,0,0,others,6,may,79,2,-1,0,no,0,0,-0.053279128238745865,no,0.7309,No interesante
43,56,retired,divorced,primary,0,4,1,0,others,6,may,31,3,-1,0,no,0,0,-0.022779468623955083,no,0.8189,No interesante
44,31,entrepreneur,married,tertiary,0,281,1,0,others,6,may,206,2,-1,0,no,0,0,-0.10366376852997916,no,0.7211,No interesante
45,33,blue-collar,divorced,secondary,0,60,0,0,others,6,may,190,3,-1,0,no,0,0,-0.07282770806424066,no,0.7026,No interesante
46,30,self-employed,single,tertiary,0,800,0,0,others,6,may,95,2,-1,0,no,0,0,-0.08850753149485263,no,0.6922,No interesante
47,47,blue-collar,married,secondary,0,1001,1,0,others,7,may,201,4,-1,0,no,0,0,-0.12394149264865828,no,0.7509,No interesante
48,33,services,married,secondary,0,404,1,0,others,7,may,139,1,-1,0,no,0,0,-0.12942404092520027,no,0.7787,No interesante
49,37,services,single,secondary,0,259,1,0,others,7,may,130,1,-1,0,no,0,0,-0.12450047376934535,no,0.7751,No interesante
50,38,management,single,tertiary,0,673,1,0,others,7,may,184,1,-1,0,no,0,0,-0.10103825137152694,no,0.7507,No interesante
51,27,services,single,secondary,0,0,1,0,others,7,may,388,7,-1,0,no,0,0,-0.10783447213201992,no,0.6392,No interesante
52,32,blue-collar,married,secondary,0,-205,1,0,others,7,may,388,1,-1,0,no,0,0,-0.1255932043378994,no,0.6554,No interesante
53,31,services,single,secondary,0,-45,0,0,others,7,may,246,2,-1,0,no,0,0,-0.1095622027061428,no,0.6331,No interesante
54,51,technician,married,secondary,0,220,1,0,others,7,may,421,2,-1,0,no,0,0,-0.11881347593898595,no,0.5892,Periferia
55,38,admin.,single,secondary,0,137,1,1,others,7,may,125,2,-1,0,no,0,0,-0.09193386640701612,no,0.7792,No interesante
56,52,admin.,married,primary,0,270,1,0,others,7,may,294,2,-1,0,no,0,0,-0.10191019588549356,no,0.7038,No interesante
57,34,blue-collar,married,secondary,0,2308,1,0,others,7,may,1062,1,-1,0,no,0,0,-0.08313075351991928,yes,0.5291,Periferia
58,30,technician,single,tertiary,0,60,1,1,others,7,may,306,5,-1,0,no,0,0,-0.06116535881183687,no,0.7156,No interesante
59,43,entrepreneur,married,primary,0,526,1,0,others,7,may,79,4,-1,0,no,0,0,-0.09082902811519199,no,0.79,No interesante
60,57,technician,divorced,secondary,0,2710,1,1,others,7,may,333,1,-1,0,no,0,0,-0.030702858764739882,no,0.7158,No interesante
61,28,blue-collar,married,primary,0,-55,1,0,others,7,may,361,2,-1,0,no,0,0,-0.09739139161788984,no,0.7041,No interesante
62,34,services,divorced,secondary,0,78,1,0,others,7,may,35,3,-1,0,no,0,0,-0.0860396332713319,no,0.8017,No interesante
63,32,admin.,single,secondary,0,89,1,1,others,8,may,308,3,-1,0,no,0,0,-0.08675149019652717,no,0.7062,No interesante
64,27,services,divorced,secondary,0,96,1,0,others,8,may,31,1,-1,0,no,0,0,-0.08861318291529102,no,0.7783,No interesante
65,33,blue-collar,divorced,primary,0,176,1,0,others,8,may,622,1,-1,0,no,0,0,-0.04867565337653945,yes,0.5095,Periferia
66,36,services,single,tertiary,0,72,1,0,others,8,may,80,1,-1,0,no,0,0,-0.10026781287015912,no,0.788,No interesante
67,48,technician,divorced,secondary,0,177,1,0,others,8,may,471,1,-1,0,no,0,0,-0.07860915055217171,no,0.5496,Periferia
68,27,admin.,single,secondary,0,181,1,0,others,8,may,231,2,-1,0,no,0,0,-0.11957659347711658,no,0.6693,No interesante
69,30,technician,married,secondary,0,-1,1,0,others,8,may,323,1,-1,0,no,0,0,-0.1234175373145161,no,0.7001,No interesante
70,49,services,married,secondary,0,-22,1,0,others,8,may,70,1,-1,0,no,0,0,-0.12440978742101973,no,0.809,No interesante
71,42,admin.,married,secondary,0,323,1,1,others,8,may,280,2,-1,0,no,0,0,-0.09990587075644952,no,0.7194,No interesante
72,34,blue-collar,single,secondary,0,341,1,0,others,8,may,195,1,-1,0,no,0,0,-0.1255702049880077,no,0.751,No interesante
73,26,student,single,tertiary,0,37,1,0,others,8,may,108,1,-1,0,no,0,0,-0.08836643779530934,no,0.7822,No interesante
74,26,student,single,secondary,0,-41,1,0,others,8,may,229,2,-1,0,no,0,0,-0.10924820994926793,no,0.6976,No interesante
75,26,blue-collar,single,secondary,0,-132,0,0,others,8,may,12,1,-1,0,no,0,0,-0.10332409522487264,no,0.7344,No interesante
76,32,blue-collar,married,primary,0,289,1,0,others,8,may,23,4,-1,0,no,0,0,-0.09594079354705826,no,0.7969,No interesante
77,50,blue-collar,divorced,primary,0,134,0,0,others,8,may,263,2,-1,0,no,0,0,-0.05336679088734042,no,0.6222,No interesante
78,37,blue-collar,married,secondary,0,121,1,0,others,8,may,617,2,-1,0,no,0,0,-0.12173800228961967,yes,0.5167,Periferia
79,60,blue-collar,divorced,primary,0,7601,1,0,others,8,may,285,1,-1,0,no,0,0,-0.017390117220319138,no,0.7148,No interesante
80,34,blue-collar,married,secondary,0,103,1,1,others,8,may,956,2,-1,0,no,0,0,-0.06454918707668733,no,0.5027,Periferia
81,34,blue-collar,married,secondary,0,67,1,1,others,8,may,672,3,-1,0,no,0,0,-0.08301135370889279,no,0.5098,Periferia
82,36,technician,married,secondary,0,195,1,0,others,8,may,380,2,-1,0,no,0,0,-0.1257297244654733,no,0.6415,No interesante
83,44,management,divorced,tertiary,0,3932,1,0,others,8,may,40,2,-1,0,no,0,0,-0.04774298633205182,no,0.7935,No interesante
84,35,management,married,tertiary,0,820,1,0,others,8,may,287,4,-1,0,no,0,0,-0.09719425129864157,no,0.6847,No interesante
85,32,blue-collar,married,secondary,0,536,1,0,others,9,may,208,2,-1,0,no,0,0,-0.13274819137321542,no,0.7048,No interesante
86,41,technician,married,secondary,0,483,1,0,others,9,may,319,1,-1,0,no,0,0,-0.12568812889542935,no,0.675,No interesante
87,49,services,divorced,secondary,0,470,1,0,others,9,may,659,2,-1,0,no,0,0,-0.07079464956770838,yes,0.5175,Periferia
88,47,technician,married,primary,0,187,1,0,others,9,may,165,1,-1,0,no,0,0,-0.1061334409305794,no,0.7769,No interesante
89,30,management,married,tertiary,0,1825,1,0,others,9,may,164,1,-1,0,no,0,0,-0.1019340971009921,no,0.762,No interesante
90,51,management,single,tertiary,0,417,1,0,others,9,may,18,1,-1,0,no,0,0,-0.08955629079728916,no,0.7816,No interesante
91,59,blue-collar,married,secondary,0,1407,1,0,others,9,may,232,1,-1,0,no,0,0,-0.1158379556098394,no,0.6911,No interesante
92,27,management,single,tertiary,0,118,1,0,others,9,may,132,3,-1,0,no,0,0,-0.09725416150955718,no,0.7625,No interesante
93,27,self-employed,single,secondary,0,78,1,0,others,9,may,825,1,-1,0,no,0,0,-0.08274403701140692,yes,0.5352,Periferia
94,46,technician,divorced,secondary,0,164,1,0,others,9,may,229,2,-1,0,no,0,0,-0.08346525901790641,no,0.7011,No interesante
95,28,management,single,secondary,1,101,1,0,others,9,may,224,3,-1,0,no,0,0,-0.054125123403952036,no,0.6735,No interesante
96,33,blue-collar,married,secondary,0,269,1,0,others,9,may,365,1,-1,0,no,0,0,-0.12778484698395032,no,0.6563,No interesante
97,32,technician,married,secondary,0,1118,1,1,others,9,may,128,2,-1,0,no,0,0,-0.0916011607062408,no,0.7877,No interesante
98,47,management,divorced,tertiary,0,266,1,0,others,9,may,128,1,-1,0,no,0,0,-0.06497602994584327,no,0.7905,No interesante
99,33,blue-collar,single,primary,0,92,1,0,others,9,may,127,1,-1,0,no,0,0,-0.10074383741705883,no,0.79,No interesante
100,35,management,married,tertiary,0,1510,1,0,others,9,may,61,1,-1,0,no,0,0,-0.10114920117121184,no,0.7855,No interesante
101,39,entrepreneur,married,secondary,0,1261,1,0,others,9,may,129,2,-1,0,no,0,0,-0.122394127919833,no,0.779,No interesante
102,28,blue-collar,married,secondary,0,948,1,0,others,9,may,455,1,-1,0,no,0,0,-0.12418477917706905,no,0.5631,Periferia
103,31,services,married,secondary,0,0,0,1,others,9,may,81,6,-1,0,no,0,0,-0.06377179250503033,no,0.7793,No interesante
104,29,admin.,single,secondary,1,-228,1,0,others,9,may,279,1,-1,0,no,0,0,-0.05931841377105285,no,0.7052,No interesante
105,29,blue-collar,married,primary,0,608,1,0,others,9,may,184,2,-1,0,no,0,0,-0.1099615055690848,no,0.7641,No interesante
106,29,student,single,secondary,0,510,1,0,others,9,may,25,6,-1,0,no,0,0,-0.10130097502958067,no,0.7839,No interesante
107,31,services,single,secondary,1,68,1,0,others,9,may,169,2,-1,0,no,0,0,-0.06277333836317461,no,0.7783,No interesante
108,25,admin.,married,secondary,0,10,1,0,others,9,may,393,2,-1,0,no,0,0,-0.12060719760965828,no,0.633,No interesante
109,34,blue-collar,married,secondary,0,2137,0,0,others,9,may,245,4,-1,0,no,0,0,-0.1083558571026264,no,0.583,Periferia
110,25,admin.,single,secondary,0,96,1,0,others,9,may,176,2,-1,0,no,0,0,-0.12012164231855438,no,0.7437,No interesante
111,57,blue-collar,married,secondary,0,221,1,0,others,9,may,122,2,-1,0,no,0,0,-0.11919535101840678,no,0.783,No interesante
112,34,technician,married,secondary,0,484,0,0,others,9,may,84,4,-1,0,no,0,0,-0.1071868207829368,no,0.705,No interesante
113,42,blue-collar,married,primary,0,-10,1,0,others,9,may,291,4,-1,0,no,0,0,-0.10029993637450024,no,0.7319,No interesante
114,47,admin.,single,secondary,0,15,0,0,others,12,may,181,4,-1,0,no,0,0,-0.1016218626785894,no,0.7067,No interesante
115,40,technician,married,secondary,0,66,1,0,others,12,may,29,8,-1,0,no,0,0,-0.11877056990301572,no,0.8016,No interesante
116,40,services,single,secondary,0,-278,1,0,others,12,may,400,3,-1,0,no,0,0,-0.1145451643053358,no,0.6164,No interesante
117,29,technician,married,secondary,0,0,0,0,others,12,may,33,2,-1,0,no,0,0,-0.10657455950699518,no,0.7409,No interesante
118,28,technician,single,tertiary,0,-214,1,0,others,12,may,140,3,-1,0,no,0,0,-0.10062850895916436,no,0.7892,No interesante
119,39,blue-collar,single,primary,0,446,1,0,others,12,may,183,1,-1,0,no,0,0,-0.10282846585916183,no,0.7628,No interesante
120,47,entrepreneur,married,secondary,1,-1445,1,0,others,12,may,379,2,-1,0,no,0,0,-0.05056000199328542,no,0.67,No interesante
121,26,blue-collar,single,secondary,1,-23,1,0,others,12,may,315,1,-1,0,no,0,0,-0.05970330387121552,no,0.6838,No interesante
122,28,blue-collar,single,secondary,0,-284,1,0,others,12,may,162,1,-1,0,no,0,0,-0.12313036730515807,no,0.7833,No interesante
123,56,retired,married,primary,0,13,1,0,others,12,may,123,2,-1,0,no,0,0,-0.07224082324643294,no,0.8095,No interesante
124,24,blue-collar,single,secondary,0,117,1,1,others,12,may,470,1,-1,0,no,0,0,-0.0827700997456674,no,0.5577,Periferia
125,29,admin.,single,secondary,0,382,1,0,others,12,may,460,1,-1,0,no,0,0,-0.11692584509492993,no,0.5199,Periferia
126,37,admin.,single,secondary,0,18,0,0,others,12,may,574,6,-1,0,no,0,0,-0.09338438595190762,yes,0.5206,Periferia
127,56,admin.,married,secondary,0,2087,1,0,others,12,may,146,1,-1,0,no,0,0,-0.11498892516173548,no,0.7751,No interesante
128,30,management,divorced,secondary,0,37,0,0,others,12,may,262,2,-1,0,no,0,0,-0.06979214932052058,no,0.6378,No interesante
129,35,management,divorced,tertiary,0,538,1,0,others,12,may,66,4,-1,0,no,0,0,-0.06475594299638593,no,0.7974,No interesante
130,40,management,single,tertiary,0,867,1,1,others,12,may,145,4,-1,0,no,0,0,-0.06263025493444363,no,0.7852,No interesante
131,53,blue-collar,married,primary,0,6386,1,0,others,12,may,170,8,-1,0,no,0,0,-0.07246212828710835,no,0.7905,No interesante
132,25,blue-collar,single,secondary,0,335,1,0,others,13,may,164,1,-1,0,no,0,0,-0.1236161105257912,no,0.7434,No interesante
133,26,entrepreneur,single,secondary,0,101,1,0,others,13,may,723,1,-1,0,no,0,0,-0.09564756938373598,yes,0.5364,Periferia
134,32,services,single,secondary,0,-121,1,1,others,13,may,272,1,-1,0,no,0,0,-0.08497734721934075,no,0.7354,No interesante
135,28,admin.,single,secondary,0,296,1,0,others,13,may,218,1,-1,0,no,0,0,-0.12338524938737845,no,0.6796,No interesante
136,47,retired,married,primary,1,-13,0,0,others,13,may,295,1,-1,0,no,0,0,-0.0197770350635173,no,0.6339,No interesante
137,30,services,married,secondary,1,-846,1,0,others,13,may,117,1,-1,0,no,0,0,-0.06330267295371632,no,0.8088,No interesante
138,26,blue-collar,single,secondary,0,401,1,0,others,13,may,373,1,-1,0,no,0,0,-0.12025270722308068,no,0.6318,No interesante
139,23,blue-collar,single,primary,0,2594,1,0,others,13,may,193,1,-1,0,no,0,0,-0.09263686199999964,no,0.7456,No interesante
140,42,blue-collar,married,secondary,0,476,1,0,others,13,may,93,1,-1,0,no,0,0,-0.13395001094051126,no,0.7797,No interesante
141,51,services,married,secondary,0,193,1,0,others,13,may,202,3,-1,0,no,0,0,-0.1224597207913138,no,0.754,No interesante
142,32,technician,married,tertiary,0,463,1,0,others,13,may,128,2,-1,0,no,0,0,-0.11286078814170207,no,0.7793,No interesante
143,30,blue-collar,married,secondary,0,-166,1,1,others,13,may,255,5,-1,0,no,0,0,-0.08817726430935413,no,0.7525,No interesante
144,60,blue-collar,married,primary,0,1262,1,1,others,13,may,1015,1,-1,0,yes,1,0,-0.0017207029025906315,no,0.5129,Periferia
145,45,blue-collar,married,secondary,0,8680,1,0,others,13,may,503,1,-1,0,no,0,0,-0.08649969628794385,no,0.5039,Periferia
146,54,services,married,secondary,0,1301,1,0,others,13,may,173,1,-1,0,no,0,0,-0.1206845762323186,no,0.7643,No interesante
147,39,blue-collar,married,secondary,0,1554,1,0,others,13,may,378,1,-1,0,no,0,0,-0.12890636578954726,no,0.6457,No interesante
148,57,blue-collar,married,primary,0,1460,0,0,others,13,may,91,2,-1,0,no,0,0,-0.08378485107961897,no,0.7092,No interesante
149,44,services,divorced,secondary,0,0,1,1,others,13,may,97,1,-1,0,no,0,0,-0.05502215525373588,no,0.819,No interesante
150,53,admin.,divorced,secondary,0,887,1,0,others,13,may,169,2,-1,0,no,0,0,-0.09026560000485896,no,0.7684,No interesante
151,43,blue-collar,married,primary,0,17,1,0,others,13,may,119,10,-1,0,no,0,0,-0.09506825267162368,no,0.8162,No interesante
152,43,blue-collar,married,primary,0,2047,1,0,others,13,may,163,2,-1,0,no,0,0,-0.11265458991852186,no,0.7753,No interesante
154,41,management,divorced,tertiary,0,1576,1,0,others,13,may,232,2,-1,0,no,0,0,-0.062086699534606216,no,0.6965,No interesante
155,48,blue-collar,married,primary,0,9004,0,0,others,14,may,158,3,-1,0,no,0,0,-0.063007250854969,no,0.6852,No interesante
156,48,entrepreneur,married,secondary,0,2550,1,0,others,14,may,175,3,-1,0,no,0,0,-0.11332831796895605,no,0.7597,No interesante
157,25,admin.,single,secondary,1,53,1,0,others,14,may,313,4,-1,0,no,0,0,-0.055024822619081086,no,0.6786,No interesante
158,48,technician,married,secondary,0,67,1,0,others,14,may,328,4,-1,0,no,0,0,-0.11784649752388456,no,0.6898,No interesante
159,43,entrepreneur,married,secondary,0,1516,1,0,others,14,may,318,1,-1,0,no,0,0,-0.11852874486004228,no,0.6728,No interesante
160,60,technician,married,secondary,0,2639,1,0,others,14,may,483,2,-1,0,no,0,0,-0.10736100907289392,no,0.5101,Periferia
161,51,management,divorced,tertiary,0,482,1,0,others,14,may,178,1,-1,0,no,0,0,-0.0635776023895942,no,0.7646,No interesante
162,53,retired,married,primary,0,383,1,0,others,14,may,171,1,-1,0,no,0,0,-0.08237683176274074,no,0.7719,No interesante
163,43,unemployed,single,primary,0,698,1,0,others,14,may,322,1,-1,0,no,0,0,-0.06882468684018939,no,0.6785,No interesante
164,34,blue-collar,married,primary,0,357,1,0,others,14,may,197,2,-1,0,no,0,0,-0.11474923510595758,no,0.769,No interesante
165,42,technician,married,secondary,0,0,1,0,others,14,may,833,1,-1,0,no,0,0,-0.10719565913504793,yes,0.5101,Periferia
166,45,unemployed,married,primary,0,1292,1,0,others,14,may,70,2,-1,0,no,0,0,-0.08279258154793884,no,0.7955,No interesante
167,46,blue-collar,married,primary,0,501,1,0,others,14,may,230,2,-1,0,no,0,0,-0.1124036645607192,no,0.7061,No interesante
168,51,unemployed,married,secondary,0,760,1,0,others,14,may,411,1,-1,0,no,0,0,-0.097285771897149,no,0.5993,Periferia
169,26,student,single,secondary,0,3096,1,0,others,14,may,107,1,-1,0,no,0,0,-0.1003474667928802,no,0.7623,No interesante
170,43,technician,married,secondary,0,672,1,0,others,14,may,267,8,-1,0,no,0,0,-0.12173405028574953,no,0.6961,No interesante
171,47,services,divorced,secondary,0,430,1,1,others,14,may,335,1,-1,0,no,0,0,-0.05181408544956223,no,0.7183,No interesante
172,49,housemaid,single,primary,0,1158,1,0,others,14,may,159,3,-1,0,no,0,0,-0.08791458996142354,no,0.7752,No interesante
173,29,admin.,single,secondary,0,1028,1,0,others,14,may,343,1,-1,0,no,0,0,-0.11989223314187965,no,0.6505,No interesante
174,47,blue-collar,married,primary,0,6439,1,0,others,14,may,326,3,-1,0,no,0,0,-0.08169094248550812,no,0.6929,No interesante
175,55,blue-collar,married,primary,0,680,1,0,others,14,may,321,1,-1,0,no,0,0,-0.10067418112240024,no,0.6911,No interesante
176,45,entrepreneur,married,secondary,0,245,1,0,others,14,may,126,3,-1,0,no,0,0,-0.12026562662824468,no,0.7797,No interesante
177,34,services,single,secondary,0,719,1,0,others,15,may,362,3,-1,0,no,0,0,-0.11822755663326118,no,0.6567,No interesante
178,40,services,married,secondary,0,581,1,0,others,15,may,1013,3,-1,0,no,0,0,-0.09022852049985364,yes,0.5281,Periferia
179,50,management,married,tertiary,0,-516,1,0,others,15,may,226,2,-1,0,no,0,0,-0.0954785925392343,no,0.7228,No interesante
180,53,entrepreneur,married,tertiary,0,420,1,0,others,15,may,100,1,-1,0,no,0,0,-0.09872909309542817,no,0.7799,No interesante
181,48,admin.,divorced,secondary,0,1108,1,0,others,15,may,420,1,-1,0,no,0,0,-0.08816919000185686,no,0.5874,Periferia
182,54,technician,divorced,secondary,0,1705,1,0,others,15,may,367,2,-1,0,no,0,0,-0.07380597742944718,no,0.6615,No interesante
183,49,admin.,married,secondary,0,1530,1,0,others,15,may,173,1,-1,0,no,0,0,-0.12650695351865765,no,0.7613,No interesante
184,40,blue-collar,divorced,secondary,0,793,1,0,others,15,may,109,1,-1,0,no,0,0,-0.09581490295234413,no,0.7841,No interesante
185,40,entrepreneur,married,secondary,0,0,1,1,others,15,may,435,1,-1,0,no,0,0,-0.08366370694841369,no,0.6277,No interesante
186,56,retired,married,secondary,0,344,1,0,others,15,may,221,1,-1,0,no,0,0,-0.0939774135965118,no,0.6906,No interesante
187,44,blue-collar,single,secondary,0,641,0,0,others,15,may,257,1,-1,0,no,0,0,-0.11060464906578156,no,0.5733,Periferia
188,51,self-employed,divorced,secondary,0,154,1,0,others,15,may,285,1,-1,0,no,0,0,-0.08035490220994357,no,0.7004,No interesante
189,53,admin.,single,secondary,0,1178,1,0,others,15,may,295,2,-1,0,no,0,0,-0.1122579500650286,no,0.6727,No interesante
190,45,services,married,secondary,0,9077,1,0,others,15,may,139,1,-1,0,no,0,0,-0.0887436369174433,no,0.7813,No interesante
191,40,entrepreneur,married,primary,0,3676,1,1,others,15,may,101,1,-1,0,no,0,0,-0.05993378553264572,no,0.7996,No interesante
192,60,blue-collar,married,primary,0,5788,1,0,others,15,may,203,2,-1,0,no,0,0,-0.08826278393240737,no,0.7463,No interesante
193,58,management,divorced,tertiary,0,577,0,0,others,15,may,1244,3,-1,0,no,0,0,-0.0040394176832989626,yes,0.5435,Periferia
194,43,technician,married,secondary,0,78,1,0,others,15,may,80,1,-1,0,no,0,0,-0.13061662152397746,no,0.7897,No interesante
195,55,blue-collar,married,secondary,0,1328,1,0,others,15,may,100,1,-1,0,no,0,0,-0.11777331263465718,no,0.7779,No interesante
196,28,blue-collar,married,secondary,0,86,1,1,others,15,may,918,1,-1,0,no,0,0,-0.06500796170480744,yes,0.5029,Periferia
197,41,services,married,secondary,0,714,1,1,others,15,may,504,5,-1,0,no,0,0,-0.0840344234030983,no,0.5358,Periferia
198,54,blue-collar,married,primary,0,24,1,0,others,15,may,34,1,-1,0,no,0,0,-0.09933353577537933,no,0.8184,No interesante
199,40,retired,married,secondary,0,1842,0,0,others,15,may,56,1,-1,0,no,0,0,-0.09454184393802244,no,0.7004,No interesante
200,47,management,divorced,tertiary,0,10399,1,0,others,15,may,59,2,-1,0,no,0,0,-0.0182980400636627,no,0.795,No interesante
201,47,admin.,married,secondary,0,257,1,0,others,15,may,484,11,-1,0,no,0,0,-0.10913518833907287,no,0.5151,Periferia
202,31,technician,single,secondary,0,1819,1,0,others,15,may,226,2,-1,0,no,0,0,-0.11876337312775635,no,0.6748,No interesante
203,43,blue-collar,married,primary,0,778,1,1,others,15,may,284,5,-1,0,no,0,0,-0.07075451327357174,no,0.7388,No interesante
204,57,admin.,divorced,primary,0,1,0,0,others,15,may,17,10,-1,0,no,0,0,-0.024735172174464304,no,0.7839,No interesante
205,39,technician,married,secondary,0,880,1,0,others,16,may,29,1,-1,0,no,0,0,-0.12773738382700545,no,0.7816,No interesante
206,29,technician,single,tertiary,0,47,1,0,others,16,may,111,11,-1,0,no,0,0,-0.08985595070663971,no,0.7918,No interesante
207,31,self-employed,single,tertiary,0,144,1,0,others,16,may,676,1,-1,0,yes,1,0,-0.044460826914477884,yes,0.537,Periferia
208,42,admin.,divorced,secondary,0,63,0,0,others,16,may,88,6,-1,0,no,0,0,-0.06534148665566697,no,0.7515,No interesante
209,49,technician,married,secondary,0,1269,1,0,others,16,may,355,2,-1,0,no,0,0,-0.12270506327600528,no,0.6667,No interesante
